match_id,scraped,competition_key,competition_type,source_stage_id,competition_phase,source_url,validation_status,validated_home_team,validated_away_team
1908320,True,Championship,domestic_league,,regular_season,,ok,Birmingham,Ipswich
1908321,True,Championship,domestic_league,,regular_season,,ok,Charlton,Watford
1908322,True,Championship,domestic_league,,regular_season,,ok,Coventry,Hull
1908323,True,Championship,domestic_league,,regular_season,,ok,Southampton,Wrexham
1908324,True,Championship,domestic_league,,regular_season,,ok,Middlesbrough,Swansea
1908325,True,Championship,domestic_league,,regular_season,,ok,Norwich,Millwall
1908326,True,Championship,domestic_league,,regular_season,,ok,Oxford,Portsmouth
1908327,True,Championship,domestic_league,,regular_season,,ok,QPR,Preston
1908328,True,Championship,domestic_league,,regular_season,,ok,Stoke,Derby
1908329,True,Championship,domestic_league,,regular_season,,ok,WBA,Blackburn
1908330,True,Championship,domestic_league,,regular_season,,ok,Sheff Utd,Bristol City
1908331,False,Championship,domestic_league,,regular_season,,pending,,
1908344,True,Championship,domestic_league,,regular_season,,ok,Blackburn,Birmingham
1908345,True,Championship,domestic_league,,regular_season,,ok,Bristol City,Charlton
1908346,False,Championship,domestic_league,,regular_season,,pending,,
1908347,True,Championship,domestic_league,,regular_season,,ok,Hull,Oxford
1908348,True,Championship,domestic_league,,regular_season,,ok,Ipswich,Southampton
1908349,True,Championship,domestic_league,,regular_season,,ok,Millwall,Middlesbrough
1908350,True,Championship,domestic_league,,regular_season,,ok,Portsmouth,Norwich
1908351,True,Championship,domestic_league,,regular_season,,ok,Preston,Leicester
1908352,True,Championship,domestic_league,,regular_season,,ok,Sheff Wed,Stoke
1908353,True,Championship,domestic_league,,regular_season,,ok,Swansea,Sheff Utd
1908354,True,Championship,domestic_league,,regular_season,,ok,Ipswich,Sheff Utd
1908355,True,Championship,domestic_league,,regular_season,,ok,Derby,Preston
1908356,True,Championship,domestic_league,,regular_season,,ok,Oxford,Leicester
1908357,True,Championship,domestic_league,,regular_season,,ok,Hull,Southampton
1908358,True,Championship,domestic_league,,regular_season,,ok,Preston,Middlesbrough
1908359,False,Championship,domestic_league,,regular_season,,pending,,
1908360,True,Championship,domestic_league,,regular_season,,ok,Sheff Wed,Bristol City
1908361,True,Championship,domestic_league,,regular_season,,ok,Middlesbrough,WBA
1908362,True,Championship,domestic_league,,regular_season,,ok,Southampton,Portsmouth
