league,player_id,team_id,total_passes,accurate_passes,key_passes,through_balls,long_balls,crosses,crosses_successful,progressive_passes,passes_into_final_third,passes_into_penalty_area,assists,shot_creating_actions,successful_dribbles,total_dribbles,progressive_carries,shots,goals,tackles,tackles_successful,interceptions,ball_recoveries,clearances,aerials_total,aerials_won,shots_blocked,possession_lost,touches_final_third,forward_passes,penalty_area_touches,half_space_passes,possession_won_final_third,carries_into_final_third,ball_winning_x_sum,ball_winning_count,touches,match_id,team_name,position,age,minutes_played,isFirstEleven,height,weight,rating,player_name
Belgium_Pro_League,133390.0,881,26,15,0,0,1,5,0,7,3,3,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,11,17,9,2,7,0,0,0.0,0,28,1905035,FCV Dender EH,Sub,32,48,False,183,78,,Alireza Jahanbakhsh
Belgium_Pro_League,141392.0,140,79,70,0,0,8,0,0,10,5,1,0,1,1,1,0,0,0,1,1,1,8,8,0,0,3,9,6,42,0,6,0,1,224.8,9,93,1905035,Genk,DC,31,96,True,180,73,,Joris Kayembe
Belgium_Pro_League,234371.0,881,16,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0.0,0,18,1905035,FCV Dender EH,GK,33,96,True,186,79,,Gauthier Gallon
Belgium_Pro_League,327684.0,140,41,34,1,0,8,0,0,14,10,2,0,1,0,1,0,0,0,3,3,3,7,6,3,1,2,8,11,24,0,14,2,2,403.3,10,64,1905035,Genk,MC,29,96,True,184,73,,Bryan Heynen
Belgium_Pro_League,357387.0,140,52,45,0,0,4,0,0,11,10,0,0,0,0,0,0,0,0,2,2,0,4,3,1,1,0,7,3,27,0,12,0,0,119.30000000000001,4,60,1905035,Genk,DC,26,96,True,183,92,,Mujaid Sadick
Belgium_Pro_League,370255.0,140,26,17,3,0,0,3,0,5,1,3,1,3,0,2,0,1,0,1,0,1,1,1,3,1,1,11,19,7,5,7,0,0,74.4,2,39,1905035,Genk,FWL,33,67,True,177,68,,Junya Ito
Belgium_Pro_League,383827.0,881,43,31,0,0,7,0,0,8,3,0,0,0,0,0,0,1,0,2,1,2,5,5,10,8,0,12,3,24,5,5,0,0,256.2,7,55,1905035,FCV Dender EH,DC,28,96,True,192,85,,Kobe Cools
Belgium_Pro_League,397268.0,140,38,25,0,0,19,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,25,0,1,0,0,36.7,3,49,1905035,Genk,GK,26,96,True,195,90,,Tobias Lawal
Belgium_Pro_League,397959.0,881,9,8,0,0,0,0,0,3,0,1,0,1,1,2,0,3,0,1,1,0,2,0,3,0,0,2,10,3,4,2,0,1,56.8,2,19,1905035,FCV Dender EH,FW,24,48,True,187,75,,David Toshevski
Belgium_Pro_League,399713.0,140,37,28,1,0,1,1,0,5,4,1,0,1,0,1,0,2,2,4,2,1,4,4,9,6,0,10,14,17,4,10,0,0,116.5,5,55,1905035,Genk,MC,27,85,True,186,83,,Daan Heymans
Belgium_Pro_League,400245.0,881,28,18,4,0,5,4,2,4,0,4,0,6,2,2,0,6,1,0,0,0,4,0,2,1,0,10,25,7,13,8,1,0,186.9,4,42,1905035,FCV Dender EH,FW,26,96,True,181,63,,Bruny Nsimba
Belgium_Pro_League,412905.0,881,10,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,0,5,0,0,0.0,0,10,1905035,FCV Dender EH,Sub,24,23,False,175,70,,Moïse Sahi Dion
