league,match_id,team_id,team_name,is_home,total_passes,accurate_passes,total_shots,goals,key_passes,tackles,interceptions
Belgium_Pro_League,1905035,881,FCV Dender EH,True,518,397,22,1,14,12,14
Belgium_Pro_League,1905035,140,Genk,False,498,403,8,2,8,16,11
Belgium_Pro_League,1905037,237,KV Mechelen,True,412,309,13,2,6,19,8
Belgium_Pro_League,1905037,1406,OH Leuven,False,367,260,16,2,14,23,11
Belgium_Pro_League,1905042,2647,Union St.Gilloise,True,308,228,13,1,11,14,23
Belgium_Pro_League,1905042,124,Club Brugge,False,695,595,8,0,6,15,8
Belgium_Pro_League,1905044,261,Standard Liege,True,317,199,9,2,5,18,11
Belgium_Pro_League,1905044,240,Anderlecht,False,555,421,15,0,9,19,9
Belgium_Pro_League,1905086,885,Cercle Bruges,True,380,246,22,0,15,28,14
Belgium_Pro_League,1905086,881,FCV Dender EH,False,417,290,11,0,9,21,16
Belgium_Pro_League,1905088,124,Club Brugge,True,598,508,16,2,15,13,9
Belgium_Pro_League,1905088,260,Sporting Charleroi,False,369,274,9,1,6,20,5
Belgium_Pro_League,1905090,140,Genk,True,419,330,16,3,13,23,2
Belgium_Pro_League,1905090,231,Gent,False,490,393,14,0,11,10,13
Belgium_Pro_League,1905096,238,Westerlo,True,352,257,8,0,6,22,9
Belgium_Pro_League,1905096,2647,Union St.Gilloise,False,550,455,6,0,5,24,4
Belgium_Pro_League,1904999,237,KV Mechelen,True,579,486,7,1,7,13,12
Belgium_Pro_League,1904999,240,Anderlecht,False,449,353,19,3,12,17,5
Belgium_Pro_League,1905002,881,FCV Dender EH,True,375,293,14,1,12,15,8
Belgium_Pro_League,1905002,124,Club Brugge,False,748,664,19,2,18,13,7
Belgium_Pro_League,1905016,2647,Union St.Gilloise,True,512,416,20,4,16,18,8
Belgium_Pro_League,1905016,2164,Zulte Waregem,False,468,375,10,1,8,15,7
Belgium_Pro_League,1905123,238,Westerlo,True,453,364,13,3,7,18,6
Belgium_Pro_League,1905123,2164,Zulte Waregem,False,506,424,12,1,10,11,12
Belgium_Pro_League,1905124,881,FCV Dender EH,True,551,439,9,1,7,16,9
Belgium_Pro_League,1905124,261,Standard Liege,False,484,378,10,1,6,10,10
Belgium_Pro_League,1905125,231,Gent,True,700,581,11,1,6,10,1
Belgium_Pro_League,1905125,29561,RAAL La Louviere,False,213,106,5,0,3,16,12
Belgium_Pro_League,1905004,1406,OH Leuven,True,360,281,10,4,7,10,9
Belgium_Pro_League,1905004,231,Gent,False,568,474,14,0,13,8,6
Belgium_Pro_League,1905013,752,Royal Antwerp,True,274,173,5,0,4,8,8
Belgium_Pro_League,1905013,239,St.Truiden,False,627,554,22,1,16,11,6
Belgium_Pro_League,1905019,238,Westerlo,True,541,444,17,0,14,25,10
Belgium_Pro_League,1905019,140,Genk,False,539,448,7,1,7,18,5
Belgium_Pro_League,1904906,239,St.Truiden,True,474,387,14,1,9,12,9
Belgium_Pro_League,1904906,260,Sporting Charleroi,False,281,187,4,1,1,20,3
Belgium_Pro_League,1905126,752,Royal Antwerp,True,290,209,6,1,4,14,12
Belgium_Pro_League,1905126,140,Genk,False,767,675,16,1,11,17,4
Belgium_Pro_League,1905127,885,Cercle Bruges,True,506,401,12,0,11,15,11
Belgium_Pro_League,1905127,240,Anderlecht,False,442,330,9,2,6,22,6
Belgium_Pro_League,1905128,2647,Union St.Gilloise,True,390,307,18,5,14,28,8
Belgium_Pro_League,1905128,1406,OH Leuven,False,360,272,6,0,5,26,6
Belgium_Pro_League,1905022,231,Gent,True,621,522,9,2,8,6,12
Belgium_Pro_League,1905022,260,Sporting Charleroi,False,393,286,9,1,7,8,6
Belgium_Pro_League,1905015,885,Cercle Bruges,True,388,269,12,1,8,19,14
Belgium_Pro_League,1905015,752,Royal Antwerp,False,370,233,18,1,10,13,13
Belgium_Pro_League,1905025,237,KV Mechelen,True,428,331,10,0,8,26,5
Belgium_Pro_League,1905025,239,St.Truiden,False,433,334,20,4,12,19,19
Belgium_Pro_League,1905028,2164,Zulte Waregem,True,518,432,6,0,4,17,4
Belgium_Pro_League,1905028,29561,RAAL La Louviere,False,297,202,11,0,8,12,7
Belgium_Pro_League,1905011,240,Anderlecht,True,438,323,17,1,14,27,10
Belgium_Pro_League,1905011,261,Standard Liege,False,430,308,9,0,4,20,13
Belgium_Pro_League,1905017,2647,Union St.Gilloise,True,354,266,7,0,5,7,9
Belgium_Pro_League,1905017,124,Club Brugge,False,536,442,10,1,5,14,6
Belgium_Pro_League,1905020,881,FCV Dender EH,True,333,229,10,1,8,22,12
Belgium_Pro_League,1905020,140,Genk,False,641,535,25,2,17,19,7
Belgium_Pro_League,1905030,238,Westerlo,True,397,313,17,2,13,21,10
Belgium_Pro_League,1905030,1406,OH Leuven,False,369,268,8,0,4,18,7
Belgium_Pro_League,1904980,881,FCV Dender EH,True,449,341,14,2,7,15,9
Belgium_Pro_League,1904980,29561,RAAL La Louviere,False,459,331,15,1,11,15,9
Belgium_Pro_League,1905056,238,Westerlo,True,455,372,8,0,7,10,10
Belgium_Pro_League,1905056,239,St.Truiden,False,453,364,17,4,15,17,4
Belgium_Pro_League,1905110,29561,RAAL La Louviere,True,508,400,21,0,12,26,6
Belgium_Pro_League,1905110,752,Royal Antwerp,False,328,243,5,0,4,24,12
Belgium_Pro_League,1904970,885,Cercle Bruges,True,557,415,16,2,14,19,9
Belgium_Pro_League,1904970,261,Standard Liege,False,303,181,11,1,9,16,16
Belgium_Pro_League,1904984,231,Gent,True,379,279,6,1,3,12,9
Belgium_Pro_League,1904984,2647,Union St.Gilloise,False,640,523,20,1,13,9,5
Belgium_Pro_League,1905047,260,Sporting Charleroi,True,586,480,28,3,18,14,1
Belgium_Pro_League,1905047,885,Cercle Bruges,False,218,139,11,4,7,14,10
Belgium_Pro_League,1905052,1406,OH Leuven,True,306,212,13,3,9,14,17
Belgium_Pro_League,1905052,231,Gent,False,531,433,23,1,18,12,6
Belgium_Pro_League,1905055,2164,Zulte Waregem,True,445,359,12,1,12,10,13
Belgium_Pro_League,1905055,881,FCV Dender EH,False,469,365,7,0,6,13,6
Belgium_Pro_League,1905104,260,Sporting Charleroi,True,479,364,22,2,18,18,6
Belgium_Pro_League,1905104,881,FCV Dender EH,False,357,255,15,2,12,15,8
Belgium_Pro_League,1905108,238,Westerlo,True,274,176,9,1,8,10,13
Belgium_Pro_League,1905108,1406,OH Leuven,False,420,296,21,0,14,18,9
Belgium_Pro_League,1905111,140,Genk,True,584,473,5,1,3,18,12
Belgium_Pro_League,1905111,2647,Union St.Gilloise,False,444,337,12,2,9,16,12
Belgium_Pro_League,1905038,881,FCV Dender EH,True,511,392,15,2,10,14,8
Belgium_Pro_League,1905038,2164,Zulte Waregem,False,475,368,13,2,11,14,8
Belgium_Pro_League,1904967,752,Royal Antwerp,True,293,215,11,3,8,22,17
Belgium_Pro_League,1904967,140,Genk,False,738,628,18,0,13,21,10
Belgium_Pro_League,1904972,260,Sporting Charleroi,True,420,331,7,0,6,19,11
Belgium_Pro_League,1904972,237,KV Mechelen,False,493,395,11,1,10,14,10
Belgium_Pro_League,1904974,2164,Zulte Waregem,True,494,398,4,1,3,12,2
Belgium_Pro_League,1904974,1406,OH Leuven,False,425,335,16,1,11,11,9
Belgium_Pro_League,1904993,240,Anderlecht,True,561,449,13,0,10,21,10
Belgium_Pro_League,1904993,238,Westerlo,False,341,241,17,4,10,25,16
Belgium_Pro_League,1905049,261,Standard Liege,True,341,261,6,1,4,13,7
Belgium_Pro_League,1905049,124,Club Brugge,False,843,758,22,2,17,12,6
Belgium_Pro_League,1905051,140,Genk,True,469,386,18,2,14,17,9
Belgium_Pro_League,1905051,240,Anderlecht,False,405,325,11,0,9,16,9
Belgium_Pro_League,1905053,237,KV Mechelen,True,294,197,8,2,8,25,12
