league,match_id,date_str,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,total_events,competition_key,competition_type,competition_phase,phase_table_scope,source_stage_id,validation_status
Bundesliga,1910824,1022026,44,Borussia Dortmund,4852,FC Heidenheim,3,2,1457,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910830,1022026,41,Stuttgart,50,Freiburg,1,0,1412,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910743,1032026,45,Eintracht Frankfurt,50,Freiburg,2,0,1459,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910745,1032026,38,Hamburg,7614,RBL,1,2,1442,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910749,1032026,41,Stuttgart,33,Wolfsburg,4,0,1668,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910712,1112025,37,Bayern,36,Leverkusen,3,0,1675,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910716,1112025,4852,FC Heidenheim,45,Eintracht Frankfurt,1,1,1659,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910718,1112025,219,Mainz,42,Werder Bremen,1,1,1537,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910720,1112025,7614,RBL,41,Stuttgart,3,1,1589,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910722,1112025,283,St. Pauli,134,Borussia M.Gladbach,0,4,1668,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910724,1112025,796,Union Berlin,50,Freiburg,0,0,1350,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910714,2112025,282,FC Koln,38,Hamburg,4,1,1382,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910726,2112025,33,Wolfsburg,1211,Hoffenheim,2,3,1550,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910632,3102025,1211,Hoffenheim,282,FC Koln,0,1,1539,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910799,4032026,38,Hamburg,36,Leverkusen,0,1,1594,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910840,4042026,36,Leverkusen,33,Wolfsburg,6,3,1558,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910841,4042026,134,Borussia M.Gladbach,4852,FC Heidenheim,2,2,1660,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910843,4042026,50,Freiburg,37,Bayern,2,3,1565,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910844,4042026,38,Hamburg,1730,Augsburg,1,1,1417,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910845,4042026,1211,Hoffenheim,219,Mainz,1,2,1524,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910846,4042026,41,Stuttgart,44,Borussia Dortmund,0,2,1532,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910848,4042026,42,Werder Bremen,7614,RBL,1,2,1668,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910624,4102025,36,Leverkusen,796,Union Berlin,2,0,1707,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910626,4102025,44,Borussia Dortmund,7614,RBL,1,1,1703,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910628,4102025,45,Eintracht Frankfurt,37,Bayern,0,3,1722,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910663,4102025,1730,Augsburg,33,Wolfsburg,3,1,1439,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910668,4102025,42,Werder Bremen,283,St. Pauli,1,0,1809,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910842,5042026,45,Eintracht Frankfurt,282,FC Koln,2,2,1531,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910847,5042026,796,Union Berlin,283,St. Pauli,1,1,1568,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910625,5102025,134,Borussia M.Gladbach,50,Freiburg,0,0,1491,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910630,5102025,38,Hamburg,219,Mainz,4,0,1554,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910634,5102025,41,Stuttgart,4852,FC Heidenheim,1,0,1614,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910791,5122025,219,Mainz,134,Borussia M.Gladbach,0,1,1716,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910695,6022026,796,Union Berlin,45,Eintracht Frankfurt,1,1,1406,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910753,6032026,37,Bayern,134,Borussia M.Gladbach,4,1,1665,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910636,6122025,41,Stuttgart,37,Bayern,0,5,1525,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910638,6122025,33,Wolfsburg,796,Union Berlin,3,1,1537,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910780,6122025,1730,Augsburg,36,Leverkusen,2,0,1608,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910784,6122025,282,FC Koln,283,St. Pauli,1,1,1547,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910788,6122025,4852,FC Heidenheim,50,Freiburg,2,1,1457,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910793,6122025,7614,RBL,45,Eintracht Frankfurt,6,0,1609,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910691,7022026,4852,FC Heidenheim,38,Hamburg,0,2,1450,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910692,7022026,219,Mainz,1730,Augsburg,2,0,1550,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910694,7022026,283,St. Pauli,41,Stuttgart,2,1,1543,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910697,7022026,33,Wolfsburg,44,Borussia Dortmund,1,2,1624,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910833,7022026,134,Borussia M.Gladbach,36,Leverkusen,1,1,1749,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910835,7022026,50,Freiburg,42,Werder Bremen,1,0,1550,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910755,7032026,282,FC Koln,44,Borussia Dortmund,1,2,1633,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910757,7032026,50,Freiburg,36,Leverkusen,3,3,1608,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910760,7032026,4852,FC Heidenheim,1211,Hoffenheim,2,4,1471,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910762,7032026,219,Mainz,41,Stuttgart,2,2,1505,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910764,7032026,7614,RBL,1730,Augsburg,2,1,1559,Bundesliga,domestic_league,regular_season,regular_season,,ok
Bundesliga,1910770,7032026,33,Wolfsburg,38,Hamburg,1,2,1487,Bundesliga,domestic_league,regular_season,regular_season,,ok
