league,player_id,team_id,total_passes,accurate_passes,key_passes,through_balls,long_balls,crosses,crosses_successful,progressive_passes,passes_into_final_third,passes_into_penalty_area,assists,shot_creating_actions,successful_dribbles,total_dribbles,progressive_carries,shots,goals,tackles,tackles_successful,interceptions,ball_recoveries,clearances,aerials_total,aerials_won,shots_blocked,possession_lost,touches_final_third,forward_passes,penalty_area_touches,half_space_passes,possession_won_final_third,carries_into_final_third,ball_winning_x_sum,ball_winning_count,touches,match_id,team_name,position,age,minutes_played,isFirstEleven,height,weight,rating,player_name
Bundesliga,129983.0,44,24,24,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,2,15,0,5,0,0,62.5,2,26,1910824,Borussia Dortmund,Sub,30,48,False,195,99,,Niklas Süle
Bundesliga,141556.0,44,53,42,5,4,5,2,0,11,3,4,0,6,1,1,0,1,0,3,3,0,2,1,1,1,0,11,30,17,6,16,0,0,73.30000000000001,2,62,1910824,Borussia Dortmund,AMC,29,99,True,185,83,,Julian Brandt
Bundesliga,236506.0,44,27,24,1,0,0,0,0,0,0,2,0,3,2,4,0,8,2,1,1,0,2,2,12,4,0,5,32,2,23,6,1,1,123.80000000000001,2,54,1910824,Borussia Dortmund,FW,30,98,True,187,82,,Serhou Guirassy
Bundesliga,238699.0,4852,23,18,1,0,6,1,1,6,6,1,0,1,0,1,0,0,0,1,1,1,3,3,3,2,1,6,4,13,0,8,0,0,105.8,4,34,1910824,FC Heidenheim,DC,31,99,True,182,80,,Marnon Busch
Bundesliga,296768.0,44,53,47,0,0,2,0,0,5,3,0,0,1,1,1,0,1,1,4,1,0,4,8,5,4,0,6,9,34,4,4,0,0,148.60000000000002,4,70,1910824,Borussia Dortmund,DC,29,99,True,189,86,,Waldemar Anton
Bundesliga,306637.0,4852,26,22,1,0,5,3,2,4,3,2,0,1,0,1,0,0,0,6,4,1,5,4,0,0,2,5,8,12,1,7,0,0,222.0,6,47,1910824,FC Heidenheim,MC,28,99,True,178,76,,Niklas Dorsch
Bundesliga,326403.0,44,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,44.2,1,3,1910824,Borussia Dortmund,Sub,28,1,False,182,74,,Salih Özcan
Bundesliga,336028.0,44,37,28,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,28,0,0,0,0,0.0,0,39,1910824,Borussia Dortmund,GK,28,99,True,195,88,,Gregor Kobel
Bundesliga,361254.0,4852,8,6,1,0,1,0,0,3,0,1,0,1,0,2,0,0,0,0,0,0,2,2,1,0,1,4,5,4,1,1,0,0,71.7,2,19,1910824,FC Heidenheim,FWL,29,51,True,188,78,,Mathias Honsak
Bundesliga,361425.0,4852,18,12,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,4,3,0,2,7,9,4,0,6,4,8,3,1,0,1,45.400000000000006,2,36,1910824,FC Heidenheim,DC,31,99,True,194,86,,Patrick Mainka
