league,match_id,team_id,team_name,is_home,total_passes,accurate_passes,total_shots,goals,key_passes,tackles,interceptions
Bundesliga,1910824,4852,FC Heidenheim,False,290,202,12,2,10,19,4
Bundesliga,1910824,44,Borussia Dortmund,True,529,419,19,3,13,19,4
Bundesliga,1910830,50,Freiburg,False,252,163,11,0,7,11,14
Bundesliga,1910830,41,Stuttgart,True,558,455,18,1,16,14,6
Bundesliga,1910743,50,Freiburg,False,370,293,4,0,1,12,13
Bundesliga,1910743,45,Eintracht Frankfurt,True,614,536,15,2,14,17,8
Bundesliga,1910745,38,Hamburg,True,403,310,7,1,5,12,4
Bundesliga,1910745,7614,RBL,False,545,457,13,2,10,11,7
Bundesliga,1910749,41,Stuttgart,True,686,579,24,4,17,13,3
Bundesliga,1910749,33,Wolfsburg,False,401,308,10,0,7,15,6
Bundesliga,1910712,36,Leverkusen,False,493,423,8,0,6,15,11
Bundesliga,1910712,37,Bayern,True,711,632,18,3,15,20,6
Bundesliga,1910716,45,Eintracht Frankfurt,False,758,635,16,1,16,17,7
Bundesliga,1910716,4852,FC Heidenheim,True,293,198,9,1,7,12,15
Bundesliga,1910718,219,Mainz,True,454,336,10,1,9,11,17
Bundesliga,1910718,42,Werder Bremen,False,514,405,5,1,4,14,10
Bundesliga,1910720,41,Stuttgart,False,598,507,15,1,11,10,12
Bundesliga,1910720,7614,RBL,True,446,345,16,3,12,12,3
Bundesliga,1910722,134,Borussia M.Gladbach,False,496,429,15,4,12,13,11
Bundesliga,1910722,283,St. Pauli,True,655,550,16,0,11,9,5
Bundesliga,1910724,796,Union Berlin,True,285,184,11,0,7,15,6
Bundesliga,1910724,50,Freiburg,False,478,389,13,0,10,12,2
Bundesliga,1910714,38,Hamburg,False,454,371,11,1,8,4,1
Bundesliga,1910714,282,FC Koln,True,422,344,23,4,14,14,6
Bundesliga,1910726,1211,Hoffenheim,False,511,405,10,3,9,18,4
Bundesliga,1910726,33,Wolfsburg,True,481,384,12,2,8,11,13
Bundesliga,1910632,282,FC Koln,False,362,264,10,1,8,13,10
