league,match_id,date_str,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,total_events,competition_key,competition_type,competition_phase,phase_table_scope,source_stage_id,validation_status
Championship,1908585,1012026,158,Blackburn,199,Wrexham,0,2,1570,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908587,1012026,182,Bristol City,169,Portsmouth,5,0,1551,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908589,1012026,160,Charlton,17,Coventry,1,1,1379,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908591,1012026,20,Derby,21,Middlesbrough,1,0,1375,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908592,1012026,214,Hull,96,Stoke,0,1,1494,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908593,1012026,165,Ipswich,197,Oxford,2,1,1402,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908626,1012026,181,Preston,25,Sheff Wed,3,0,1513,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908627,1012026,171,QPR,168,Norwich,1,2,1506,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908628,1012026,163,Sheff Utd,14,Leicester,3,1,1525,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908629,1012026,18,Southampton,192,Millwall,0,0,1488,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908630,1012026,259,Swansea,175,WBA,1,0,1534,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908631,1012026,27,Watford,157,Birmingham,3,0,1510,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908421,1102025,169,Portsmouth,27,Watford,2,2,1406,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908424,1102025,171,QPR,197,Oxford,0,0,1533,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908624,1102025,192,Millwall,17,Coventry,0,4,1466,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908625,1102025,168,Norwich,175,WBA,0,1,1590,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908430,1112025,157,Birmingham,169,Portsmouth,4,0,1474,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908433,1112025,160,Charlton,259,Swansea,1,1,1508,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908436,1112025,14,Leicester,158,Blackburn,0,2,1578,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908439,1112025,168,Norwich,214,Hull,0,2,1471,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908442,1112025,197,Oxford,192,Millwall,2,2,1549,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908445,1112025,171,QPR,165,Ipswich,1,4,1374,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908447,1112025,163,Sheff Utd,20,Derby,1,3,1522,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908450,1112025,18,Southampton,181,Preston,0,2,1459,Championship,domestic_league,regular_season,regular_season,,ok
Championship,1908453,1112025,96,Stoke,182,Bristol City,5,1,1403,Championship,domestic_league,regular_season,regular_season,,ok
