league,player_id,team_id,total_passes,accurate_passes,key_passes,through_balls,long_balls,crosses,crosses_successful,progressive_passes,passes_into_final_third,passes_into_penalty_area,assists,shot_creating_actions,successful_dribbles,total_dribbles,progressive_carries,shots,goals,tackles,tackles_successful,interceptions,ball_recoveries,clearances,aerials_total,aerials_won,shots_blocked,possession_lost,touches_final_third,forward_passes,penalty_area_touches,half_space_passes,possession_won_final_third,carries_into_final_third,ball_winning_x_sum,ball_winning_count,touches,match_id,team_name,position,age,minutes_played,isFirstEleven,height,weight,rating,player_name
Championship,75198.0,199,30,20,1,1,4,4,0,2,2,0,1,1,0,1,0,0,0,1,1,1,8,1,3,1,1,11,4,7,1,2,0,0,325.2,9,38,1908585,Wrexham,MC,34,75,True,181,86,,Matty James
Championship,112719.0,158,70,61,0,0,7,0,0,11,10,0,0,0,0,0,0,1,0,2,1,1,10,0,3,0,2,9,9,50,1,14,1,0,439.4,11,83,1908585,Blackburn,MC,30,95,True,174,70,,Sondre Tronstad
Championship,299034.0,199,17,14,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,3,9,0,4,0,0,101.3,3,19,1908585,Wrexham,Sub,28,20,False,185,64,,Ben Sheaf
Championship,300049.0,199,63,43,0,0,14,1,0,6,5,0,0,1,1,1,0,0,0,0,0,1,2,8,6,5,0,20,3,28,1,6,0,0,109.1,3,79,1908585,Wrexham,DC,30,95,True,188,70,,Dominic Hyam
Championship,312846.0,199,39,29,0,0,9,0,0,3,4,0,0,0,0,1,0,0,0,2,2,2,3,1,2,1,1,11,4,16,2,5,0,0,174.7,5,53,1908585,Wrexham,MC,28,95,True,185,73,,George Dobson
Championship,319022.0,199,37,28,1,0,3,0,0,5,0,1,0,3,2,7,0,2,1,4,2,3,9,1,5,4,3,14,29,12,3,8,1,3,556.9,12,68,1908585,Wrexham,AMC,29,90,True,170,66,,Oliver Rathbone
Championship,333354.0,158,10,4,1,0,2,2,1,1,1,1,0,1,0,1,0,0,0,2,0,1,1,2,1,0,0,7,4,2,0,2,0,0,61.3,2,21,1908585,Blackburn,ML,30,49,True,185,65,,Ryan Hedges
Championship,342488.0,199,23,14,2,0,0,1,0,0,2,0,0,2,0,2,0,2,1,0,0,0,1,3,18,10,1,11,20,5,3,3,1,1,71.1,1,40,1908585,Wrexham,FW,28,95,True,181,73,,Sam Smith
Championship,343002.0,158,15,10,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,5,7,3,1,1,0,0,0.0,0,22,1908585,Blackburn,Sub,27,46,False,185,78,,Harry Pickering
Championship,345774.0,158,33,26,0,0,11,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,26,0,1,0,0,7.6,1,36,1908585,Blackburn,GK,28,95,True,185,0,,Aynsley Pears
Championship,346738.0,158,56,43,2,0,6,5,1,5,4,2,0,2,0,1,0,2,0,0,0,2,4,0,1,0,0,14,15,21,0,8,0,0,202.4,6,67,1908585,Blackburn,AMC,28,95,True,180,70,,Todd Cantwell
Championship,362207.0,199,41,31,1,0,12,0,0,4,0,0,0,1,0,0,0,1,0,0,0,2,2,10,6,5,0,10,2,21,1,2,0,0,113.3,4,55,1908585,Wrexham,DC,31,95,True,188,80,,Dan Scarr
Championship,366083.0,199,26,18,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,2,2,0,6,1,1,1,4,8,16,3,2,6,2,0,311.9,6,46,1908585,Wrexham,AMC,27,87,True,173,74,,Lewis O'Brien
Championship,384139.0,199,28,21,1,0,2,4,2,5,1,2,0,1,0,1,0,1,0,3,3,0,3,2,6,2,1,8,16,12,1,7,0,1,128.6,3,43,1908585,Wrexham,DMR,25,95,True,180,83,,Ryan Longman
Championship,390201.0,158,56,47,0,0,9,0,0,3,2,0,0,0,0,0,0,1,0,2,2,5,9,7,11,4,0,9,3,33,6,3,0,0,419.0,14,78,1908585,Blackburn,DC,29,95,True,191,70,,Sean McLoughlin
Championship,390722.0,199,55,37,0,0,9,8,0,4,3,1,0,0,0,1,0,0,0,2,2,1,3,5,2,1,1,19,29,16,1,17,0,1,170.3,4,72,1908585,Wrexham,DML,25,95,True,177,69,,George Thomason
Championship,402095.0,199,7,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,4,0,0,0,0,13.8,1,9,1908585,Wrexham,Sub,25,8,False,182,82,,Liberato Cacace
Championship,411834.0,199,25,13,0,0,21,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,2,0,0,0.0,0,28,1908585,Wrexham,GK,24,95,True,198,84,,Arthur Okonkwo
Championship,421912.0,199,47,29,0,0,12,1,0,6,4,0,0,0,0,0,0,0,0,1,0,2,1,4,7,4,0,18,6,21,2,6,0,1,120.80000000000001,3,61,1908585,Wrexham,DC,22,95,True,185,72,,Callum Doyle
Championship,443312.0,158,67,42,0,0,13,1,0,6,3,1,0,0,0,2,0,0,0,2,0,1,3,1,3,1,0,27,25,31,0,11,0,0,120.4,4,83,1908585,Blackburn,DC,25,95,True,189,86,,Lewis Miller
Championship,498609.0,158,26,19,0,0,4,1,0,6,5,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,7,3,17,1,7,0,0,180.9,5,27,1908585,Blackburn,Sub,19,33,False,0,0,,Tom Atcheson
Championship,505270.0,199,5,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,2,0,0,28.4,1,5,1908585,Wrexham,Sub,20,5,False,0,0,,Harry Ashfield
Championship,534853.0,158,29,19,1,0,3,2,0,3,3,0,0,3,2,2,0,3,0,1,0,1,3,0,8,2,3,10,13,5,9,6,0,0,159.60000000000002,4,42,1908585,Blackburn,FW,29,95,True,180,73,,Yuki Ohashi
Championship,545541.0,158,20,10,0,0,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,10,13,1,4,2,0,0,0.0,0,26,1908585,Blackburn,MR,20,62,True,0,0,,Matty Litherland
Championship,550104.0,158,48,36,1,0,11,1,1,11,2,1,0,1,0,0,0,0,0,3,1,0,3,7,8,5,1,12,5,23,0,6,0,0,82.6,3,63,1908585,Blackburn,DC,22,95,True,0,0,,George Pratt
Championship,575942.0,158,18,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,2,1,9,10,5,0,3,0,1,106.30000000000001,3,26,1908585,Blackburn,FW,24,85,True,189,0,,Axel Henriksson
Championship,578908.0,158,42,30,1,0,1,2,0,3,3,0,0,1,0,1,0,4,0,4,4,3,5,3,6,6,0,13,24,12,4,12,1,2,266.7,8,67,1908585,Blackburn,MC,25,95,True,182,80,,Moussa Baradji
Championship,605029.0,158,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,3,1908585,Blackburn,Sub,19,10,False,0,0,,Nathan Dlamini
Championship,149102.0,169,49,37,2,0,6,5,2,2,2,2,0,3,1,2,0,0,0,1,1,0,5,1,1,1,0,13,10,18,0,4,0,0,155.5,5,56,1908587,Portsmouth,FWR,31,95,True,182,73,,John Swift
Championship,256129.0,169,17,14,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,1,0,0,1,1,2,3,5,3,1,0,0,1,57.6,1,26,1908587,Portsmouth,Sub,29,32,False,168,70,,Conor Chaplin
Championship,288797.0,182,40,30,0,0,19,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,30,0,2,0,0,14.5,1,44,1908587,Bristol City,GK,29,95,True,185,78,,Max O'Leary
Championship,302460.0,182,119,107,0,0,11,0,0,11,4,0,0,0,0,0,0,0,0,1,0,1,4,4,1,0,0,12,1,84,1,4,0,0,148.60000000000002,5,127,1908587,Bristol City,DC,29,95,True,178,68,,Zak Vyner
Championship,303543.0,169,45,32,1,0,6,1,0,4,1,0,0,1,0,0,0,1,0,0,0,1,5,5,4,2,0,13,6,13,1,4,0,0,214.9,6,57,1908587,Portsmouth,DC,28,95,True,180,76,,Regan Poole
Championship,312924.0,169,32,26,0,1,2,0,0,4,5,0,0,1,1,1,0,0,0,0,0,1,5,0,2,1,2,6,2,14,0,7,0,0,277.8,6,41,1908587,Portsmouth,MC,27,95,True,178,64,,Andre Dozzell
Championship,320197.0,169,18,14,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,2,6,0,2,0,0,37.3,3,18,1908587,Portsmouth,Sub,26,32,False,179,75,,Jordan Williams
