league,match_id,team_id,team_name,is_home,total_passes,accurate_passes,total_shots,goals,key_passes,tackles,interceptions
Championship,1908585,199,Wrexham,False,443,308,7,2,6,15,14
Championship,1908585,158,Blackburn,True,491,357,12,0,6,16,15
Championship,1908587,182,Bristol City,True,669,580,14,5,10,15,7
Championship,1908587,169,Portsmouth,False,413,313,5,0,5,11,8
Championship,1908589,160,Charlton,True,379,264,15,1,9,5,8
Championship,1908589,17,Coventry,False,442,330,20,1,14,11,2
Championship,1908591,21,Middlesbrough,False,577,491,19,0,14,15,10
Championship,1908591,20,Derby,True,269,189,7,1,6,18,7
Championship,1908592,96,Stoke,False,401,282,12,1,8,16,12
Championship,1908592,214,Hull,True,425,296,15,0,13,19,5
Championship,1908593,165,Ipswich,True,568,477,19,2,14,12,8
Championship,1908593,197,Oxford,False,334,252,8,1,8,20,6
Championship,1908626,25,Sheff Wed,False,493,388,6,0,5,17,7
Championship,1908626,181,Preston,True,430,327,12,3,8,26,7
Championship,1908627,171,QPR,True,453,307,10,1,4,17,8
Championship,1908627,168,Norwich,False,420,283,11,2,6,18,11
Championship,1908628,163,Sheff Utd,True,492,376,13,3,12,30,4
Championship,1908628,14,Leicester,False,394,283,6,1,5,24,11
Championship,1908629,18,Southampton,True,629,539,12,0,10,10,9
Championship,1908629,192,Millwall,False,321,215,12,0,8,30,8
Championship,1908630,259,Swansea,True,542,431,13,1,11,16,12
Championship,1908630,175,WBA,False,392,268,12,0,8,13,6
Championship,1908631,157,Birmingham,False,529,417,6,0,4,13,8
Championship,1908631,27,Watford,True,437,337,13,3,7,13,6
Championship,1908421,27,Watford,False,303,215,12,2,10,15,12
Championship,1908421,169,Portsmouth,True,522,418,15,2,9,12,7
Championship,1908424,171,QPR,True,487,372,13,0,11,22,11
Championship,1908424,197,Oxford,False,384,273,9,0,6,25,9
Championship,1908624,17,Coventry,False,342,229,13,4,6,10,11
Championship,1908624,192,Millwall,True,569,457,13,0,9,19,4
Championship,1908625,175,WBA,False,425,344,5,1,3,15,5
Championship,1908625,168,Norwich,True,615,512,16,0,10,18,3
Championship,1908430,169,Portsmouth,False,509,384,5,0,2,8,9
Championship,1908430,157,Birmingham,True,390,281,19,4,16,13,8
Championship,1908433,259,Swansea,False,516,376,11,1,10,8,10
Championship,1908433,160,Charlton,True,369,223,12,1,8,10,5
Championship,1908436,158,Blackburn,False,359,235,9,2,6,22,11
Championship,1908436,14,Leicester,True,563,450,12,0,13,13,12
Championship,1908439,214,Hull,False,356,244,9,2,5,20,8
Championship,1908439,168,Norwich,True,527,407,15,0,12,13,4
Championship,1908442,197,Oxford,True,419,265,14,2,9,10,6
Championship,1908442,192,Millwall,False,430,283,11,2,5,14,10
Championship,1908445,165,Ipswich,False,518,397,12,4,7,8,4
Championship,1908445,171,QPR,True,318,211,12,1,7,6,13
Championship,1908447,20,Derby,False,324,213,12,3,7,15,6
Championship,1908447,163,Sheff Utd,True,529,419,15,1,14,18,3
Championship,1908450,181,Preston,False,315,228,12,2,8,21,8
Championship,1908450,18,Southampton,True,563,463,10,0,6,20,5
Championship,1908453,182,Bristol City,False,372,264,16,1,15,13,5
Championship,1908453,96,Stoke,True,488,403,13,5,11,7,7
Championship,1908455,27,Watford,True,446,355,8,3,8,9,11
Championship,1908455,21,Middlesbrough,False,540,454,14,0,12,17,9
Championship,1908458,25,Sheff Wed,False,360,243,5,0,4,16,12
Championship,1908458,175,WBA,True,589,462,13,0,10,13,6
Championship,1908519,27,Watford,False,475,369,12,1,10,13,6
Championship,1908519,157,Birmingham,True,470,350,13,2,10,21,5
Championship,1908740,157,Birmingham,True,524,385,11,1,7,10,9
Championship,1908740,21,Middlesbrough,False,358,247,10,3,9,15,7
Championship,1908781,158,Blackburn,True,494,383,12,0,7,11,12
Championship,1908781,14,Leicester,False,489,396,22,1,11,11,12
Championship,1908782,96,Stoke,False,506,424,16,0,12,11,7
Championship,1908782,182,Bristol City,True,428,344,13,2,9,17,6
Championship,1908783,20,Derby,True,423,301,17,1,12,11,11
Championship,1908783,163,Sheff Utd,False,402,319,15,2,14,11,8
Championship,1908784,168,Norwich,False,535,423,12,1,11,9,8
Championship,1908784,214,Hull,True,292,182,8,2,6,14,10
Championship,1908785,165,Ipswich,True,470,375,14,3,11,13,7
Championship,1908785,171,QPR,False,428,335,13,0,10,10,4
Championship,1908786,192,Millwall,True,622,506,21,2,15,12,7
Championship,1908786,197,Oxford,False,315,223,5,0,4,17,10
Championship,1908787,169,Portsmouth,True,316,215,14,1,10,18,7
Championship,1908787,157,Birmingham,False,298,178,13,1,8,15,4
Championship,1908788,181,Preston,True,421,330,16,1,13,9,12
Championship,1908788,18,Southampton,False,501,416,18,3,16,17,4
Championship,1908789,25,Sheff Wed,True,383,283,11,2,7,21,13
Championship,1908789,175,WBA,False,611,509,13,1,8,17,9
Championship,1908790,160,Charlton,False,271,186,12,1,11,10,3
Championship,1908790,259,Swansea,True,663,571,20,3,14,5,6
Championship,1908791,27,Watford,True,416,347,13,0,10,16,7
Championship,1908791,17,Coventry,False,530,452,18,4,13,21,6
Championship,1908792,21,Middlesbrough,False,534,440,11,2,8,12,9
Championship,1908792,199,Wrexham,True,516,403,20,2,14,9,6
Championship,1908375,158,Blackburn,True,378,300,11,1,7,19,10
Championship,1908375,165,Ipswich,False,359,291,7,1,5,10,5
Championship,1908543,25,Sheff Wed,False,254,171,3,0,2,7,9
Championship,1908543,158,Blackburn,True,292,188,3,1,3,9,3
Championship,1908636,27,Watford,False,559,429,16,0,12,12,6
Championship,1908636,214,Hull,True,378,245,6,0,6,24,15
Championship,1908643,197,Oxford,False,277,159,6,1,5,20,15
Championship,1908643,163,Sheff Utd,True,607,487,11,3,8,12,9
Championship,1908709,214,Hull,False,359,232,6,0,6,23,4
Championship,1908709,165,Ipswich,True,554,456,15,1,9,11,5
Championship,1908460,199,Wrexham,True,429,315,12,1,10,17,5
Championship,1908460,157,Birmingham,False,598,483,8,1,6,16,5
Championship,1908632,17,Coventry,False,573,455,17,2,14,18,10
Championship,1908632,157,Birmingham,True,203,99,9,3,6,20,13
Championship,1908633,160,Charlton,False,320,187,11,2,6,15,6
Championship,1908633,158,Blackburn,True,454,311,17,2,10,15,5
Championship,1908634,182,Bristol City,True,664,548,11,0,11,16,5
Championship,1908634,181,Preston,False,377,272,12,2,11,14,10
Championship,1908635,199,Wrexham,False,446,344,11,2,6,23,9
Championship,1908635,20,Derby,True,496,386,13,1,12,9,6
Championship,1908638,18,Southampton,False,416,334,16,0,12,31,14
Championship,1908638,21,Middlesbrough,True,528,440,22,4,17,12,6
Championship,1908639,192,Millwall,True,410,257,17,2,12,14,9
Championship,1908639,259,Swansea,False,453,329,13,1,9,13,14
Championship,1908640,96,Stoke,False,427,307,14,2,10,19,8
Championship,1908640,168,Norwich,True,470,370,7,0,7,17,12
Championship,1908642,171,QPR,True,464,364,13,3,9,13,12
Championship,1908642,25,Sheff Wed,False,493,388,4,0,4,19,14
Championship,1908427,96,Stoke,False,483,367,11,1,9,8,4
Championship,1908427,158,Blackburn,True,427,314,17,1,15,12,13
Championship,1908429,171,QPR,False,401,293,8,2,4,11,9
Championship,1908429,182,Bristol City,True,570,451,11,1,6,10,4
Championship,1908432,20,Derby,True,382,279,9,1,6,17,7
Championship,1908432,18,Southampton,False,632,534,13,1,9,9,6
Championship,1908435,214,Hull,True,345,234,5,1,2,14,7
Championship,1908435,163,Sheff Utd,False,548,428,13,0,5,14,9
Championship,1908441,175,WBA,False,544,427,10,0,7,16,12
Championship,1908441,192,Millwall,True,357,235,11,3,8,21,5
Championship,1908444,169,Portsmouth,True,373,288,8,1,7,14,11
Championship,1908444,21,Middlesbrough,False,612,502,12,0,10,16,7
Championship,1908446,160,Charlton,False,349,226,8,0,4,24,6
Championship,1908446,181,Preston,True,441,314,15,2,15,14,7
Championship,1908448,25,Sheff Wed,True,461,344,9,0,5,12,3
Championship,1908448,17,Coventry,False,425,334,21,5,19,20,7
Championship,1908452,14,Leicester,False,450,367,17,3,9,18,6
Championship,1908452,259,Swansea,True,540,457,13,1,10,18,12
Championship,1908457,27,Watford,True,488,392,28,2,18,16,13
Championship,1908457,197,Oxford,False,380,284,15,1,11,16,7
Championship,1908379,175,WBA,False,503,387,13,0,11,12,4
Championship,1908379,160,Charlton,True,493,374,11,1,5,13,7
Championship,1908382,163,Sheff Utd,False,308,189,11,1,7,14,6
Championship,1908382,17,Coventry,True,418,301,17,3,10,10,7
Championship,1908384,214,Hull,False,479,357,8,1,4,23,8
Championship,1908384,20,Derby,True,381,260,9,2,7,14,8
Championship,1908389,165,Ipswich,True,532,427,16,1,14,15,9
Championship,1908389,27,Watford,False,388,278,4,1,2,18,10
Championship,1908391,21,Middlesbrough,False,591,490,17,1,11,21,7
Championship,1908391,14,Leicester,True,357,259,6,1,3,21,9
Championship,1908399,96,Stoke,False,434,329,14,3,8,13,7
Championship,1908399,197,Oxford,True,404,287,16,0,13,14,16
Championship,1908465,157,Birmingham,True,557,448,12,4,9,10,3
Championship,1908465,192,Millwall,False,408,299,4,0,1,15,7
Championship,1908468,182,Bristol City,True,444,293,12,0,8,11,11
Championship,1908468,158,Blackburn,False,440,290,16,1,11,21,17
Championship,1908637,175,WBA,False,590,463,16,1,10,24,6
Championship,1908637,14,Leicester,True,517,423,11,2,9,16,12
