league,match_id,date_str,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,total_events,competition_key,competition_type,competition_phase,phase_table_scope,source_stage_id,validation_status
Eredivisie,1903844,1022026,867,Excelsior,130,Ajax,2,2,1512,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903847,1022026,762,FC Volendam,874,Go Ahead Eagles,1,1,1456,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903850,1022026,287,SC Heerenveen,128,FC Utrecht,1,1,1595,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903853,1022026,870,Heracles,242,Fortuna Sittard,2,1,1471,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903859,1022026,129,PSV Eindhoven,256,Feyenoord,3,0,1530,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903884,1032026,867,Excelsior,874,Go Ahead Eagles,0,1,1540,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903887,1032026,762,FC Volendam,758,FC Groningen,3,2,1356,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903897,1032026,113,Twente,256,Feyenoord,2,0,1478,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903899,1032026,128,FC Utrecht,243,AZ Alkmaar,2,0,1513,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903901,1032026,868,PEC Zwolle,130,Ajax,0,0,1465,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904028,1112025,256,Feyenoord,762,FC Volendam,3,1,1485,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904031,1112025,783,NAC Breda,874,Go Ahead Eagles,1,0,1480,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904032,1112025,130,Ajax,287,SC Heerenveen,1,1,1575,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904033,1112025,876,Telstar,867,Excelsior,2,2,1391,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903898,2052026,130,Ajax,129,PSV Eindhoven,2,2,1578,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903904,2052026,758,FC Groningen,867,Excelsior,2,3,1420,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903906,2052026,116,NEC Nijmegen,876,Telstar,1,1,1437,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903910,2052026,128,FC Utrecht,783,NAC Breda,2,0,1442,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904034,2112025,870,Heracles,868,PEC Zwolle,8,2,1370,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904035,2112025,758,FC Groningen,113,Twente,1,1,1523,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904036,2112025,303,Sparta Rotterdam,243,AZ Alkmaar,0,1,1482,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904037,2112025,128,FC Utrecht,116,NEC Nijmegen,1,0,1440,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903832,2122025,130,Ajax,758,FC Groningen,2,0,1609,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903900,3052026,243,AZ Alkmaar,113,Twente,2,2,1582,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903902,3052026,762,FC Volendam,287,SC Heerenveen,0,2,1429,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903907,3052026,242,Fortuna Sittard,256,Feyenoord,1,2,1436,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903909,3052026,303,Sparta Rotterdam,874,Go Ahead Eagles,2,2,1452,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903911,3052026,868,PEC Zwolle,870,Heracles,1,0,1429,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904019,3102025,783,NAC Breda,758,FC Groningen,1,2,1557,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903973,4042026,130,Ajax,113,Twente,1,2,1609,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903974,4042026,243,AZ Alkmaar,242,Fortuna Sittard,2,0,1483,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903975,4042026,867,Excelsior,116,NEC Nijmegen,0,2,1451,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903980,4042026,129,PSV Eindhoven,128,FC Utrecht,4,3,1473,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903981,4042026,876,Telstar,758,FC Groningen,0,2,1477,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904021,4102025,303,Sparta Rotterdam,130,Ajax,3,3,1503,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904023,4102025,242,Fortuna Sittard,762,FC Volendam,1,0,1457,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904025,4102025,868,PEC Zwolle,129,PSV Eindhoven,0,4,1596,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904027,4102025,287,SC Heerenveen,867,Excelsior,2,1,1538,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903976,5042026,762,FC Volendam,256,Feyenoord,0,0,1508,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903977,5042026,874,Go Ahead Eagles,868,PEC Zwolle,5,0,1430,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903978,5042026,287,SC Heerenveen,870,Heracles,4,1,1460,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903979,5042026,783,NAC Breda,303,Sparta Rotterdam,0,0,1440,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903994,5102025,256,Feyenoord,128,FC Utrecht,3,2,1475,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903995,5102025,874,Go Ahead Eagles,116,NEC Nijmegen,1,1,1390,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904029,5102025,113,Twente,870,Heracles,2,1,1504,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1904030,5102025,243,AZ Alkmaar,876,Telstar,2,1,1451,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903861,5122025,867,Excelsior,758,FC Groningen,0,2,1582,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903878,6022026,783,NAC Breda,867,Excelsior,0,2,1566,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903912,6032026,870,Heracles,128,FC Utrecht,0,0,1518,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903788,6122025,242,Fortuna Sittard,130,Ajax,1,3,1492,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903867,6122025,256,Feyenoord,868,PEC Zwolle,6,1,1319,Eredivisie,domestic_league,regular_season,regular_season,,ok
Eredivisie,1903870,6122025,287,SC Heerenveen,129,PSV Eindhoven,0,2,1577,Eredivisie,domestic_league,regular_season,regular_season,,ok
