league,player_id,team_id,total_passes,accurate_passes,key_passes,through_balls,long_balls,crosses,crosses_successful,progressive_passes,passes_into_final_third,passes_into_penalty_area,assists,shot_creating_actions,successful_dribbles,total_dribbles,progressive_carries,shots,goals,tackles,tackles_successful,interceptions,ball_recoveries,clearances,aerials_total,aerials_won,shots_blocked,possession_lost,touches_final_third,forward_passes,penalty_area_touches,half_space_passes,possession_won_final_third,carries_into_final_third,ball_winning_x_sum,ball_winning_count,touches,match_id,team_name,position,age,minutes_played,isFirstEleven,height,weight,rating,player_name
Eredivisie,100608.0,867,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0,4,1903844,Excelsior,Sub,34.0,6.0,False,185.0,74.0,,Mike van Duinen
Eredivisie,108860.0,130,41,33,1,0,5,0,0,6,5,0,0,2,1,2,0,1,0,2,1,0,7,1,1,1,1,9,8,19,1,8,0,0,163.1,7,50,1903844,Ajax,MC,33.0,95.0,True,179.0,70.0,,Davy Klaassen
Eredivisie,115479.0,130,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0.0,0,9,1903844,Ajax,Sub,33.0,28.0,False,197.0,90.0,,Wout Weghorst
Eredivisie,322163.0,130,8,5,1,0,0,0,0,0,0,1,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0,5,8,0,6,1,0,1,0.0,0,17,1903844,Ajax,FW,28.0,67.0,True,187.0,80.0,,Kasper Dolberg
Eredivisie,334533.0,867,14,9,1,0,3,7,2,1,0,2,0,1,0,2,0,0,0,0,0,0,1,1,0,0,1,7,15,3,2,4,1,0,69.1,1,19,1903844,Excelsior,ML,28.0,62.0,True,172.0,68.0,,Emil Hansson
Eredivisie,373556.0,867,56,48,1,0,5,2,1,9,3,0,0,2,1,3,0,1,1,0,0,1,10,0,0,0,1,10,15,21,2,8,0,0,405.9,11,67,1903844,Excelsior,DL,24.0,95.0,True,168.0,55.0,,Arthur Zagré
Eredivisie,377283.0,130,11,9,0,0,1,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,4,5,4,3,4,0,0,41.6,1,14,1903844,Ajax,Sub,27.0,15.0,False,187.0,84.0,,Takehiro Tomiyasu
Eredivisie,383616.0,130,9,6,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,2,1,0,0,0.0,0,10,1903844,Ajax,Sub,27.0,28.0,False,175.0,65.0,,Oliver Edvardsen
Eredivisie,391831.0,130,41,21,0,0,24,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,21,0,0,0,0,26.8,2,45,1903844,Ajax,GK,24.0,95.0,True,190.0,88.0,,Vítezslav Jaros
Eredivisie,402666.0,130,60,54,0,0,6,0,0,6,2,0,0,1,1,1,0,0,0,1,1,0,1,8,3,1,0,6,0,30,0,2,0,0,24.5,1,75,1903844,Ajax,DC,26.0,95.0,True,185.0,82.0,,Josip Sutalo
