league,match_id,team_id,team_name,is_home,total_passes,accurate_passes,total_shots,goals,key_passes,tackles,interceptions
Eredivisie,1903844,130,Ajax,False,520,419,9,2,8,15,3
Eredivisie,1903844,867,Excelsior,True,481,378,11,2,10,12,14
Eredivisie,1903847,874,Go Ahead Eagles,False,348,249,13,1,9,16,7
Eredivisie,1903847,762,FC Volendam,True,558,465,20,1,13,8,5
Eredivisie,1903850,128,FC Utrecht,False,427,336,11,1,10,16,8
Eredivisie,1903850,287,SC Heerenveen,True,635,549,19,1,14,14,4
Eredivisie,1903853,242,Fortuna Sittard,False,470,350,12,1,10,14,9
Eredivisie,1903853,870,Heracles,True,409,290,11,2,7,11,8
Eredivisie,1903859,256,Feyenoord,False,412,333,8,0,7,16,10
Eredivisie,1903859,129,PSV Eindhoven,True,625,530,14,3,11,20,10
Eredivisie,1903884,867,Excelsior,True,574,459,19,0,10,15,4
Eredivisie,1903884,874,Go Ahead Eagles,False,410,299,7,1,5,12,3
Eredivisie,1903887,762,FC Volendam,True,378,287,12,3,10,17,7
Eredivisie,1903887,758,FC Groningen,False,421,311,28,2,19,9,1
Eredivisie,1903897,113,Twente,True,446,353,19,2,18,16,6
Eredivisie,1903897,256,Feyenoord,False,402,307,8,0,6,17,12
Eredivisie,1903899,128,FC Utrecht,True,378,273,11,2,7,21,14
Eredivisie,1903899,243,AZ Alkmaar,False,522,424,10,0,8,25,9
Eredivisie,1903901,130,Ajax,False,543,436,6,0,5,15,5
Eredivisie,1903901,868,PEC Zwolle,True,360,255,9,0,9,23,9
Eredivisie,1904028,762,FC Volendam,False,429,357,9,1,6,10,9
Eredivisie,1904028,256,Feyenoord,True,513,424,37,3,31,14,8
Eredivisie,1904031,874,Go Ahead Eagles,False,548,442,7,0,6,13,6
Eredivisie,1904031,783,NAC Breda,True,428,330,8,1,7,16,4
Eredivisie,1904032,130,Ajax,True,588,484,9,1,8,17,9
Eredivisie,1904032,287,SC Heerenveen,False,439,349,17,1,11,20,20
Eredivisie,1904033,867,Excelsior,False,454,351,21,2,15,9,5
Eredivisie,1904033,876,Telstar,True,380,276,17,2,12,9,7
Eredivisie,1903898,129,PSV Eindhoven,False,536,450,8,2,6,17,11
Eredivisie,1903898,130,Ajax,True,519,429,13,2,10,14,10
Eredivisie,1903904,867,Excelsior,False,396,285,18,3,10,9,10
Eredivisie,1903904,758,FC Groningen,True,500,392,12,2,10,16,9
Eredivisie,1903906,876,Telstar,False,272,173,10,1,7,15,9
Eredivisie,1903906,116,NEC Nijmegen,True,594,489,21,1,17,11,7
Eredivisie,1903910,783,NAC Breda,False,306,211,9,0,7,16,5
Eredivisie,1903910,128,FC Utrecht,True,562,479,28,2,26,11,10
Eredivisie,1904034,870,Heracles,True,481,374,24,8,17,18,10
Eredivisie,1904034,868,PEC Zwolle,False,369,273,7,2,4,9,7
Eredivisie,1904035,758,FC Groningen,True,527,438,18,1,12,20,6
Eredivisie,1904035,113,Twente,False,436,346,10,1,7,17,10
Eredivisie,1904036,243,AZ Alkmaar,False,526,426,20,1,18,13,7
Eredivisie,1904036,303,Sparta Rotterdam,True,380,287,10,0,10,17,6
Eredivisie,1904037,128,FC Utrecht,True,334,218,11,1,8,12,13
Eredivisie,1904037,116,NEC Nijmegen,False,518,406,16,0,10,7,11
Eredivisie,1903832,758,FC Groningen,False,576,483,17,0,14,12,9
Eredivisie,1903832,130,Ajax,True,529,455,13,2,12,9,14
Eredivisie,1903900,243,AZ Alkmaar,True,578,481,19,2,12,18,10
Eredivisie,1903900,113,Twente,False,423,325,9,2,6,22,9
Eredivisie,1903902,287,SC Heerenveen,False,428,329,11,2,10,13,12
Eredivisie,1903902,762,FC Volendam,True,430,307,15,0,15,17,12
