league,match_id,team_id,team_name,is_home,total_passes,accurate_passes,total_shots,goals,key_passes,tackles,interceptions
La_Liga,1914072,54,Real Betis,True,498,411,14,2,11,14,5
La_Liga,1914072,55,Valencia,False,440,352,15,1,10,16,9
La_Liga,1914085,62,Celta Vigo,True,579,489,5,0,4,8,3
La_Liga,1914085,819,Getafe,False,364,279,9,0,6,13,8
La_Liga,1914104,68,Real Sociedad,True,398,297,8,1,6,29,11
La_Liga,1914104,53,Athletic Club,False,477,361,19,1,12,13,12
La_Liga,1914154,64,Rayo Vallecano,True,471,406,11,1,9,23,11
La_Liga,1914154,52,Real Madrid,False,610,540,16,2,13,21,6
La_Liga,1914136,54,Real Betis,True,449,379,9,2,7,19,8
La_Liga,1914136,67,Sevilla,False,561,483,14,2,13,17,9
La_Liga,1914137,70,Espanyol,True,272,184,9,2,8,12,5
La_Liga,1914137,833,Elche,False,643,553,17,2,11,6,6
La_Liga,1914142,62,Celta Vigo,True,506,431,6,1,4,10,7
La_Liga,1914142,2783,Girona,False,669,580,16,2,13,15,3
La_Liga,1914144,55,Valencia,True,407,310,14,1,10,15,10
La_Liga,1914144,131,Osasuna,False,448,349,8,0,7,11,9
La_Liga,1913961,67,Sevilla,True,562,477,10,0,9,24,4
La_Liga,1913961,63,Atletico,False,507,416,15,3,14,15,10
La_Liga,1913970,52,Real Madrid,True,754,673,21,4,16,21,7
La_Liga,1913970,55,Valencia,False,412,336,4,0,3,23,12
La_Liga,1913972,53,Athletic Club,True,398,301,11,2,8,20,4
La_Liga,1913972,68,Real Sociedad,False,414,302,9,3,4,20,5
La_Liga,1913978,64,Rayo Vallecano,True,491,411,13,0,11,17,7
La_Liga,1913978,839,Villarreal,False,449,387,16,4,12,10,10
La_Liga,1914016,55,Valencia,True,407,310,10,1,8,10,5
La_Liga,1914016,64,Rayo Vallecano,False,502,408,19,1,14,15,8
La_Liga,1914059,819,Getafe,True,352,230,12,1,10,17,4
La_Liga,1914059,64,Rayo Vallecano,False,503,389,13,1,10,15,7
La_Liga,1914074,67,Sevilla,True,604,493,15,1,10,16,5
La_Liga,1914074,51,Mallorca,False,308,213,11,4,9,14,18
La_Liga,1914143,52,Real Madrid,True,734,640,18,0,14,13,4
La_Liga,1914143,819,Getafe,False,228,147,9,1,6,21,9
La_Liga,1913959,70,Espanyol,True,434,332,18,1,14,22,13
La_Liga,1913959,60,Deportivo Alaves,False,500,412,13,2,8,19,9
La_Liga,1913963,65,Barcelona,True,452,370,17,3,13,17,12
La_Liga,1913963,833,Elche,False,464,386,9,1,9,16,17
La_Liga,1913966,54,Real Betis,True,579,500,15,3,13,22,8
La_Liga,1913966,51,Mallorca,False,532,445,14,0,11,16,8
La_Liga,1913974,832,Levante,True,365,276,9,1,3,17,12
La_Liga,1913974,62,Celta Vigo,False,645,564,20,2,18,15,10
La_Liga,1914066,63,Atletico,True,438,331,7,1,6,18,10
La_Liga,1914066,65,Barcelona,False,595,505,19,3,16,18,9
La_Liga,1914053,55,Valencia,True,617,540,16,1,13,9,7
La_Liga,1914053,62,Celta Vigo,False,425,365,12,4,8,13,8
La_Liga,1914054,839,Villarreal,True,241,181,12,3,12,22,5
La_Liga,1914054,833,Elche,False,833,742,16,1,11,17,10
La_Liga,1914055,131,Osasuna,True,442,350,11,1,9,18,12
La_Liga,1914055,53,Athletic Club,False,479,368,16,1,9,14,10
La_Liga,1914057,70,Espanyol,True,279,197,14,0,11,18,10
La_Liga,1914057,65,Barcelona,False,595,521,15,2,11,18,9
La_Liga,1913960,131,Osasuna,True,493,354,7,2,6,10,1
La_Liga,1913960,819,Getafe,False,367,254,6,1,5,16,9
La_Liga,1913976,61,Real Oviedo,True,444,361,8,0,8,22,6
La_Liga,1913976,131,Osasuna,False,409,338,11,0,10,18,3
La_Liga,1914062,53,Athletic Club,True,422,323,9,0,6,16,15
La_Liga,1914062,52,Real Madrid,False,671,586,13,3,9,24,8
La_Liga,1914052,61,Real Oviedo,True,377,273,18,1,13,22,12
La_Liga,1914052,60,Deportivo Alaves,False,492,391,19,1,14,19,6
La_Liga,1914056,68,Real Sociedad,True,459,363,18,1,13,27,6
La_Liga,1914056,63,Atletico,False,549,459,10,1,8,11,7
La_Liga,1914058,52,Real Madrid,True,678,616,19,5,14,15,5
La_Liga,1914058,54,Real Betis,False,432,361,13,1,11,14,11
La_Liga,1914060,51,Mallorca,True,486,382,9,1,4,18,8
La_Liga,1914060,2783,Girona,False,508,414,9,2,6,19,8
La_Liga,1914061,832,Levante,True,316,226,6,3,4,18,6
La_Liga,1914061,67,Sevilla,False,565,473,15,0,11,11,12
La_Liga,1914092,61,Real Oviedo,True,391,306,8,0,6,18,10
La_Liga,1914092,64,Rayo Vallecano,False,424,337,19,3,13,26,7
La_Liga,1913948,53,Athletic Club,True,493,403,18,2,13,8,4
La_Liga,1913948,51,Mallorca,False,458,370,6,1,6,18,8
La_Liga,1913950,55,Valencia,True,501,409,19,1,9,10,5
La_Liga,1913950,2783,Girona,False,417,332,4,2,2,10,10
La_Liga,1913952,839,Villarreal,True,336,269,9,1,9,29,6
La_Liga,1913952,52,Real Madrid,False,749,683,26,3,19,26,4
La_Liga,1913962,832,Levante,True,405,321,14,2,9,14,11
La_Liga,1913962,61,Real Oviedo,False,542,449,13,0,9,15,7
La_Liga,1913946,60,Deportivo Alaves,True,443,351,25,3,16,20,12
La_Liga,1913946,833,Elche,False,495,421,6,1,6,18,8
La_Liga,1913954,63,Atletico,True,522,448,6,0,6,14,11
La_Liga,1913954,62,Celta Vigo,False,773,690,19,2,15,18,7
La_Liga,1913956,65,Barcelona,True,463,388,17,1,14,19,4
La_Liga,1913956,67,Sevilla,False,298,226,13,4,10,18,8
La_Liga,1913958,70,Espanyol,True,509,402,14,1,11,14,6
La_Liga,1913958,54,Real Betis,False,501,405,12,2,8,16,6
La_Liga,1913964,64,Rayo Vallecano,True,448,350,7,1,6,13,11
La_Liga,1913964,68,Real Sociedad,False,459,357,10,0,8,11,8
La_Liga,1914030,61,Real Oviedo,True,523,442,15,0,11,14,11
La_Liga,1914030,51,Mallorca,False,334,251,13,0,13,4,3
La_Liga,1914159,62,Celta Vigo,True,591,525,18,1,16,13,3
La_Liga,1914159,131,Osasuna,False,445,382,8,2,6,14,10
