league,player_id,team_id,total_passes,accurate_passes,key_passes,through_balls,long_balls,crosses,crosses_successful,progressive_passes,passes_into_final_third,passes_into_penalty_area,assists,shot_creating_actions,successful_dribbles,total_dribbles,progressive_carries,shots,goals,tackles,tackles_successful,interceptions,ball_recoveries,clearances,aerials_total,aerials_won,shots_blocked,possession_lost,touches_final_third,forward_passes,penalty_area_touches,half_space_passes,possession_won_final_third,carries_into_final_third,ball_winning_x_sum,ball_winning_count,touches,match_id,team_name,position,age,minutes_played,isFirstEleven,height,weight,rating,player_name
Ligue_1,83303.0,314,48,39,1,0,17,0,0,9,4,0,0,1,0,0,0,0,0,3,2,1,6,6,1,0,0,9,0,28,0,3,0,0,197.0,7,66,1911444,Metz,MC,35.0,94.0,True,180.0,82.0,,Benjamin Stambouli
Ligue_1,91926.0,314,16,14,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,9,1,4,0,0,65.1,2,19,1911444,Metz,Sub,34.0,31.0,False,179.0,77.0,,Maxime Colin
Ligue_1,124006.0,614,26,21,0,0,1,2,0,2,1,0,0,0,0,1,0,0,0,2,0,0,2,1,1,1,0,6,9,10,0,5,0,0,70.1,2,31,1911444,Angers,Sub,36.0,33.0,False,177.0,73.0,,Florent Hanin
Ligue_1,129758.0,314,6,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,20.3,1,9,1911444,Metz,DC,30.0,94.0,True,186.0,88.0,,Jean-Philippe Gbamin
Ligue_1,139299.0,614,86,79,2,0,8,5,2,18,20,3,0,3,1,2,0,4,0,1,1,0,4,0,1,0,0,8,23,54,3,24,1,1,222.3,4,95,1911444,Angers,DMC,30.0,73.0,True,188.0,75.0,,Branco van den Boomen
Ligue_1,236553.0,614,52,50,0,0,1,0,0,8,5,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,8,30,0,8,1,0,140.20000000000002,3,58,1911444,Angers,DMC,32.0,62.0,True,177.0,68.0,,Haris Belkebla
Ligue_1,296372.0,314,11,9,0,0,0,0,0,0,0,0,0,2,2,5,0,2,0,0,0,0,3,2,9,3,0,5,8,1,5,3,0,1,109.1,3,26,1911444,Metz,FW,30.0,94.0,True,186.0,79.0,,Habib Diallo
Ligue_1,313385.0,614,86,76,4,0,3,3,0,7,5,4,1,4,0,1,0,0,0,1,0,1,3,1,2,2,0,11,33,33,2,21,0,0,124.0,4,94,1911444,Angers,DR,29.0,94.0,True,180.0,73.0,,Carlens Arcus
Ligue_1,322671.0,314,33,30,0,0,6,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,6,9,0,4,0,0,81.1,3,37,1911444,Metz,FWR,29.0,63.0,True,170.0,65.0,,Gauthier Hein
Ligue_1,328968.0,314,16,15,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,3,1,0,0,1,2,3,4,0,1,0,0,96.8,3,27,1911444,Metz,DL,29.0,63.0,True,182.0,70.0,,Fodé Ballo-Touré
Ligue_1,332870.0,614,21,18,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,0,18,0,0,0,0,40.8,2,24,1911444,Angers,GK,29.0,94.0,True,186.0,80.0,,Hervé Koffi
Ligue_1,342610.0,314,50,40,0,0,4,1,0,3,1,0,0,3,3,4,0,1,0,2,2,3,10,2,0,0,0,11,15,22,1,7,0,0,261.1,13,70,1911444,Metz,DR,27.0,90.0,True,173.0,65.0,,Koffi Kouao
