league,player_id,team_id,total_passes,accurate_passes,key_passes,through_balls,long_balls,crosses,crosses_successful,progressive_passes,passes_into_final_third,passes_into_penalty_area,assists,shot_creating_actions,successful_dribbles,total_dribbles,progressive_carries,shots,goals,tackles,tackles_successful,interceptions,ball_recoveries,clearances,aerials_total,aerials_won,shots_blocked,possession_lost,touches_final_third,forward_passes,penalty_area_touches,half_space_passes,possession_won_final_third,carries_into_final_third,ball_winning_x_sum,ball_winning_count,touches,match_id,team_name,position,age,minutes_played,isFirstEleven,height,weight,rating,player_name
Premier_League,68659.0,189,74,57,1,0,11,5,2,15,12,3,0,2,1,2,0,0,0,2,1,0,3,0,4,1,0,18,20,33,2,17,0,0,136.7,3,79,1903336,Brentford,MC,35,95,True,182,78,,Jordan Henderson
Premier_League,147863.0,30,34,18,0,0,24,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,16,0,18,0,1,0,0,64.6,4,40,1903336,Tottenham,GK,29,95,True,194,83,,Guglielmo Vicario
Premier_League,229562.0,189,38,31,0,0,4,4,0,3,1,0,0,0,0,1,0,1,0,1,1,0,4,2,2,1,0,8,15,16,1,9,0,1,130.3,4,51,1903336,Brentford,DL,28,95,True,170,67,,Rico Henry
Premier_League,298689.0,189,54,50,1,0,4,2,1,7,5,1,0,2,1,1,0,1,0,4,1,3,6,0,3,1,0,4,12,29,1,7,0,1,265.8,9,69,1903336,Brentford,MC,27,95,True,184,79,,Vitaly Janelt
Premier_League,303657.0,30,61,53,0,0,4,1,0,8,2,1,0,3,3,3,0,0,0,0,0,2,11,2,3,1,1,8,15,32,3,8,1,2,479.9,13,69,1903336,Tottenham,MC,28,95,True,187,72,,Rodrigo Bentancur
Premier_League,317804.0,30,17,9,2,0,2,1,0,3,0,2,0,2,0,0,0,2,0,1,1,2,2,5,8,4,0,8,14,5,6,4,1,0,181.0,4,35,1903336,Tottenham,FW,28,95,True,184,83,,Richarlison
Premier_League,321085.0,189,65,58,0,0,4,0,0,2,3,0,0,0,0,0,0,0,0,1,1,2,4,8,4,2,1,7,4,44,1,3,0,0,184.4,6,81,1903336,Brentford,DC,27,95,True,198,92,,Kristoffer Ajer
Premier_League,322176.0,189,46,32,0,0,21,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,30,0,1,0,0,36.2,3,51,1903336,Brentford,GK,27,95,True,188,74,,Caoimhín Kelleher
Premier_League,322774.0,30,40,33,1,0,4,1,0,6,4,1,0,2,1,1,0,0,0,3,2,1,2,1,4,2,1,7,10,19,3,9,0,0,126.4,3,54,1903336,Tottenham,MC,30,81,True,190,84,,João Palhinha
Premier_League,323663.0,30,46,36,0,0,5,0,0,6,5,1,0,0,0,0,0,1,0,4,3,1,6,6,5,4,0,10,3,26,1,4,0,0,226.1,7,60,1903336,Tottenham,DC,27,95,True,185,78,,Cristian Romero
