league,match_id,date_str,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,total_events,competition_key,competition_type,competition_phase,phase_table_scope,source_stage_id,validation_status
Primeira_Liga,1915720,1022026,296,Sporting,936,Nacional,2,1,1576,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915729,1022026,290,Gil Vicente,935,Famalicao,5,0,1342,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915730,1022026,8071,Tondela,299,Benfica,0,0,1514,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915758,1032026,121,Rio Ave,935,Famalicao,0,0,1493,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915762,1032026,8071,Tondela,251,Santa Clara,2,2,1266,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915774,1032026,9509,Casa Pia AC,108,Moreirense,1,1,1437,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915675,1112025,107,Vitoria de Guimaraes,299,Benfica,0,3,1396,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915896,1112025,9509,Casa Pia AC,28635,Estrela da Amadora,3,5,1281,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915898,1112025,121,Rio Ave,2188,Estoril,0,4,1619,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915900,1112025,936,Nacional,935,Famalicao,0,1,1362,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915700,1122025,5948,Arouca,288,Braga,0,4,1524,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915775,2012026,290,Gil Vicente,296,Sporting,1,1,1400,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915792,2012026,107,Vitoria de Guimaraes,936,Nacional,2,1,1307,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915734,2022026,2343,AVS Futebol SAD,288,Braga,0,4,1615,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915736,2022026,9509,Casa Pia AC,297,Porto,2,1,1483,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915768,2032026,290,Gil Vicente,299,Benfica,1,2,1459,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915825,2052026,936,Nacional,2343,AVS Futebol SAD,1,2,1349,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915826,2052026,108,Moreirense,28635,Estrela da Amadora,3,2,1445,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915827,2052026,297,Porto,291,Alverca,1,0,1409,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915829,2052026,935,Famalicao,299,Benfica,2,2,1334,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915839,2052026,5948,Arouca,251,Santa Clara,2,2,1361,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915674,2112025,297,Porto,288,Braga,2,1,1554,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915895,2112025,2343,AVS Futebol SAD,8071,Tondela,2,2,1360,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915897,2112025,5948,Arouca,108,Moreirense,0,2,1628,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915772,3012026,2343,AVS Futebol SAD,108,Moreirense,0,2,1514,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915785,3012026,299,Benfica,2188,Estoril,3,1,1431,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915799,3012026,8071,Tondela,5948,Arouca,3,1,1463,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915802,3012026,28635,Estrela da Amadora,288,Braga,3,3,1442,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915871,3042026,290,Gil Vicente,2343,AVS Futebol SAD,3,0,1405,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915875,3042026,296,Sporting,251,Santa Clara,4,2,1374,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915879,3042026,107,Vitoria de Guimaraes,8071,Tondela,5,0,1323,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915828,3052026,121,Rio Ave,290,Gil Vicente,0,0,1476,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915837,3052026,9509,Casa Pia AC,8071,Tondela,0,1,1384,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915841,3052026,288,Braga,2188,Estoril,1,1,1529,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915663,3102025,9509,Casa Pia AC,2188,Estoril,2,2,1434,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915779,4012026,251,Santa Clara,297,Porto,0,1,1394,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915796,4012026,121,Rio Ave,9509,Casa Pia AC,3,1,1308,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915803,4012026,291,Alverca,935,Famalicao,1,0,1525,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915872,4042026,936,Nacional,28635,Estrela da Amadora,2,0,1313,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915873,4042026,121,Rio Ave,291,Alverca,1,2,1570,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915874,4042026,297,Porto,935,Famalicao,2,2,1479,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
Primeira_Liga,1915876,4042026,108,Moreirense,288,Braga,0,1,1665,Primeira_Liga,domestic_league,regular_season,regular_season,,ok
