league,player_id,team_id,total_passes,accurate_passes,key_passes,through_balls,long_balls,crosses,crosses_successful,progressive_passes,passes_into_final_third,passes_into_penalty_area,assists,shot_creating_actions,successful_dribbles,total_dribbles,progressive_carries,shots,goals,tackles,tackles_successful,interceptions,ball_recoveries,clearances,aerials_total,aerials_won,shots_blocked,possession_lost,touches_final_third,forward_passes,penalty_area_touches,half_space_passes,possession_won_final_third,carries_into_final_third,ball_winning_x_sum,ball_winning_count,touches,match_id,team_name,position,age,minutes_played,isFirstEleven,height,weight,rating,player_name
Primeira_Liga,123872.0,936,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0.0,0,4,1915720,Nacional,Sub,35,4,False,181,78,,André Sousa
Primeira_Liga,135571.0,936,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,15.1,1,3,1915720,Nacional,Sub,32,4,False,193,80,,Lucas João
Primeira_Liga,141833.0,296,26,19,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,19,0,1,0,0,38.8,3,29,1915720,Sporting,GK,32,98,True,191,88,,Rui Silva
Primeira_Liga,259351.0,936,17,13,2,0,2,1,0,3,3,1,0,2,0,2,0,0,0,0,0,0,4,0,1,1,0,6,14,4,0,5,1,1,197.1,4,24,1915720,Nacional,Sub,29,31,False,180,66,,Witi
Primeira_Liga,318458.0,936,38,35,0,0,5,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,5,4,3,2,1,3,1,20,2,2,0,0,332.5,7,46,1915720,Nacional,DC,27,98,True,186,80,,Léo Santos
Primeira_Liga,344378.0,296,33,22,3,0,2,4,1,5,1,5,0,4,1,1,0,3,1,0,0,0,3,0,0,0,2,11,27,9,4,10,0,0,115.6,3,41,1915720,Sporting,AMC,28,82,True,173,70,,Pote
Primeira_Liga,345701.0,936,15,9,1,0,2,2,0,2,1,2,0,1,0,2,0,0,0,1,0,0,4,1,0,0,1,8,7,6,1,2,0,0,148.7,4,26,1915720,Nacional,ML,28,67,True,171,62,,Paulinho Bóia
Primeira_Liga,349213.0,936,32,25,0,0,2,2,0,6,4,0,0,0,0,0,0,0,0,4,2,2,2,2,0,0,1,7,3,15,0,5,0,0,154.7,4,48,1915720,Nacional,MC,28,94,True,175,74,,Liziero
Primeira_Liga,368409.0,296,10,8,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,12,4,2,3,1,0,70.1,1,15,1915720,Sporting,Sub,26,32,False,184,76,,Trincão
Primeira_Liga,388685.0,936,16,11,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,5,1,4,1,1,8,7,4,3,1,1,0,219.0,6,32,1915720,Nacional,MR,23,83,True,176,75,,Gabriel Veron
Primeira_Liga,394932.0,296,92,86,0,0,1,0,0,11,5,0,0,1,1,2,0,1,0,2,1,0,10,3,3,1,2,7,7,51,1,6,0,0,333.1,10,107,1915720,Sporting,DC,24,98,True,185,76,,Eduardo Quaresma
Primeira_Liga,395346.0,296,14,11,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,5,8,1,4,0,0,0.0,0,17,1915720,Sporting,Sub,27,16,False,178,74,,Giorgi Kochorashvili
Primeira_Liga,402887.0,296,12,9,0,0,0,0,0,0,0,0,0,1,1,3,0,3,1,0,0,0,1,1,1,0,0,5,16,3,13,1,0,0,50.5,1,25,1915720,Sporting,FW,28,98,True,181,83,,Luis Suárez
Primeira_Liga,409279.0,296,72,62,0,1,6,0,0,11,10,1,0,0,0,2,0,0,0,2,2,1,4,2,1,1,0,12,17,36,1,18,0,0,168.2,5,86,1915720,Sporting,DMC,31,98,True,177,69,,Hidemasa Morita
Primeira_Liga,419078.0,936,34,33,0,0,6,0,0,3,1,0,0,0,0,0,0,1,0,3,3,2,3,7,1,1,1,1,1,18,2,0,0,0,142.3,5,52,1915720,Nacional,DC,25,98,True,189,96,,Zé Vítor
Primeira_Liga,425093.0,296,34,26,2,1,5,3,1,6,1,3,0,5,3,7,0,1,0,1,1,1,4,2,0,0,0,12,25,11,2,12,0,1,231.39999999999998,5,57,1915720,Sporting,AMR,25,82,True,173,69,,Geny Catamo
Primeira_Liga,429473.0,936,47,27,0,0,28,0,0,8,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,20,0,22,0,0,0,0,14.3,1,55,1915720,Nacional,GK,23,98,True,190,86,,Kaique
Primeira_Liga,441422.0,936,40,36,0,0,5,0,0,6,3,0,0,1,1,1,0,0,0,2,1,1,4,4,2,1,1,4,3,24,1,2,0,0,139.9,5,55,1915720,Nacional,DC,24,98,True,189,75,,Matheus Dias
Primeira_Liga,443663.0,296,100,90,0,1,11,0,0,12,8,0,0,0,0,0,0,1,0,0,0,0,6,2,5,2,2,10,4,73,5,9,0,0,231.60000000000002,6,109,1915720,Sporting,DC,22,98,True,190,94,,Ousmane Diomande
Primeira_Liga,444257.0,296,55,50,1,0,1,3,1,5,5,1,0,2,1,3,0,0,0,1,1,2,4,9,4,3,2,7,23,18,4,13,1,0,255.0,6,78,1915720,Sporting,DR,21,98,True,183,74,,Iván Fresneda
Primeira_Liga,444682.0,936,32,22,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,3,7,4,2,12,7,10,0,5,0,0,43.7,1,44,1915720,Nacional,FW,28,94,True,187,83,,Chuchu Ramírez
Primeira_Liga,444820.0,936,19,15,1,0,1,1,1,4,2,1,0,1,0,1,0,0,0,3,2,3,4,6,0,0,1,5,6,11,0,4,0,1,272.2,7,37,1915720,Nacional,MC,23,82,True,185,78,,Joel Silva
Primeira_Liga,445697.0,936,31,25,0,0,4,1,0,4,2,0,0,0,0,2,0,1,1,1,1,1,2,5,1,0,0,8,8,10,1,1,0,0,85.5,3,48,1915720,Nacional,DR,21,98,True,178,66,,Alan Núñez
Primeira_Liga,460758.0,296,72,48,2,2,12,16,1,5,1,3,0,4,2,2,0,3,0,3,2,0,6,2,2,2,2,24,42,17,6,13,0,0,164.1,6,93,1915720,Sporting,DL,26,98,True,179,76,,Maxi Araújo
Primeira_Liga,468008.0,936,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,100.5,3,7,1915720,Nacional,Sub,24,15,False,174,0,,Daniel Júnior
Primeira_Liga,478319.0,296,30,23,2,0,4,5,2,2,2,2,0,6,4,5,0,2,0,0,0,0,1,0,0,0,0,8,21,9,10,8,0,0,35.8,1,40,1915720,Sporting,AML,20,66,True,178,74,,Luis Guilherme
Primeira_Liga,488322.0,936,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,3,2,0,1,0,1,100.5,2,10,1915720,Nacional,Sub,25,16,False,190,82,,Chiheb Labidi
Primeira_Liga,499785.0,296,12,11,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,3,0,1,0,1,3,6,3,2,4,0,0,134.4,3,19,1915720,Sporting,Sub,23,32,False,179,70,,Souleymane Faye
Primeira_Liga,531757.0,936,34,19,0,0,7,3,0,1,1,0,0,4,4,5,0,1,0,3,2,0,5,3,1,1,0,16,17,7,2,3,0,0,83.10000000000001,5,52,1915720,Nacional,DL,29,98,True,185,78,,José Gomes
Primeira_Liga,540227.0,296,28,19,0,0,0,1,0,3,0,0,0,1,1,1,0,0,0,1,1,0,4,0,3,0,0,9,8,6,5,3,1,0,159.7,4,35,1915720,Sporting,DMC,19,66,True,178,71,,João Simões
Primeira_Liga,557549.0,296,8,7,1,0,0,0,0,2,1,1,1,2,1,1,0,0,0,0,0,0,2,0,1,1,0,1,3,4,1,2,0,1,78.8,2,10,1915720,Sporting,Sub,23,16,False,177,82,,Alisson Santos
Primeira_Liga,86223.0,290,84,81,0,0,4,0,0,5,2,1,0,0,0,0,0,2,1,1,0,0,2,1,1,1,0,3,2,64,3,2,0,0,36.7,2,89,1915729,Gil Vicente,DC,32,93,True,187,82,,Jonathan Buatu
