league,match_id,team_id,team_name,is_home,total_passes,accurate_passes,total_shots,goals,key_passes,tackles,interceptions
Primeira_Liga,1915720,296,Sporting,True,598,491,16,2,11,13,4
Primeira_Liga,1915720,936,Nacional,False,367,280,5,1,4,20,14
Primeira_Liga,1915729,935,Famalicao,True,387,313,4,0,2,18,10
Primeira_Liga,1915729,290,Gil Vicente,False,498,445,17,5,11,15,7
Primeira_Liga,1915730,299,Benfica,True,675,547,24,0,19,14,6
Primeira_Liga,1915730,8071,Tondela,False,214,134,6,0,3,25,9
Primeira_Liga,1915758,935,Famalicao,True,449,339,10,0,9,25,19
Primeira_Liga,1915758,121,Rio Ave,False,381,291,16,0,8,17,11
Primeira_Liga,1915762,8071,Tondela,True,293,208,11,2,7,18,4
Primeira_Liga,1915762,251,Santa Clara,False,414,318,17,2,11,13,5
Primeira_Liga,1915774,9509,Casa Pia AC,True,324,235,7,1,5,15,5
Primeira_Liga,1915774,108,Moreirense,False,560,471,12,1,9,15,7
Primeira_Liga,1915675,299,Benfica,True,592,527,24,3,17,9,8
Primeira_Liga,1915675,107,Vitoria de Guimaraes,False,305,232,10,0,10,15,10
Primeira_Liga,1915896,28635,Estrela da Amadora,True,335,261,12,5,8,13,7
Primeira_Liga,1915896,9509,Casa Pia AC,False,429,330,10,3,5,8,8
Primeira_Liga,1915898,121,Rio Ave,True,455,384,2,0,1,14,9
Primeira_Liga,1915898,2188,Estoril,False,663,577,24,4,19,11,8
Primeira_Liga,1915900,936,Nacional,True,319,234,8,0,6,15,12
Primeira_Liga,1915900,935,Famalicao,False,415,316,20,1,14,19,9
Primeira_Liga,1915700,5948,Arouca,True,186,125,5,2,1,7,9
Primeira_Liga,1915700,288,Braga,False,967,896,18,2,13,6,5
Primeira_Liga,1915775,290,Gil Vicente,True,295,210,19,1,13,16,9
Primeira_Liga,1915775,296,Sporting,False,499,425,14,1,10,14,9
Primeira_Liga,1915792,107,Vitoria de Guimaraes,True,435,348,9,2,9,15,9
Primeira_Liga,1915792,936,Nacional,False,330,245,15,1,12,20,9
Primeira_Liga,1915734,288,Braga,True,724,643,10,4,9,21,3
Primeira_Liga,1915734,2343,AVS Futebol SAD,False,367,279,8,0,8,18,7
Primeira_Liga,1915736,9509,Casa Pia AC,True,290,200,5,1,3,7,14
Primeira_Liga,1915736,297,Porto,False,638,524,16,2,11,11,8
Primeira_Liga,1915768,290,Gil Vicente,True,427,336,13,1,9,17,14
Primeira_Liga,1915768,299,Benfica,False,444,335,10,2,6,11,6
Primeira_Liga,1915825,2343,AVS Futebol SAD,True,245,160,19,2,11,19,15
Primeira_Liga,1915825,936,Nacional,False,503,400,25,1,20,22,11
Primeira_Liga,1915826,108,Moreirense,True,606,522,14,3,10,14,12
Primeira_Liga,1915826,28635,Estrela da Amadora,False,316,222,10,2,6,17,13
Primeira_Liga,1915827,291,Alverca,True,381,298,10,0,5,19,2
Primeira_Liga,1915827,297,Porto,False,481,407,13,1,10,15,8
Primeira_Liga,1915829,299,Benfica,True,349,265,8,2,5,17,10
Primeira_Liga,1915829,935,Famalicao,False,451,373,15,2,14,16,8
