league,player_id,team_id,total_passes,accurate_passes,key_passes,through_balls,long_balls,crosses,crosses_successful,progressive_passes,passes_into_final_third,passes_into_penalty_area,assists,shot_creating_actions,successful_dribbles,total_dribbles,progressive_carries,shots,goals,tackles,tackles_successful,interceptions,ball_recoveries,clearances,aerials_total,aerials_won,shots_blocked,possession_lost,touches_final_third,forward_passes,penalty_area_touches,half_space_passes,possession_won_final_third,carries_into_final_third,ball_winning_x_sum,ball_winning_count,touches,match_id,team_name,position,age,minutes_played,isFirstEleven,height,weight,rating,player_name
Super_Lig,90446.0,2200,42,33,0,0,2,0,0,4,2,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,10,3,21,0,3,0,0,135.4,5,50,1915391,Kayserispor,DL,35.0,94.0,True,182.0,79.0,,Lionel Carole
Super_Lig,106964.0,294,11,9,0,0,1,1,0,1,2,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,2,8,5,5,4,0,0,65.9,1,14,1915391,Galatasaray,Sub,33.0,28.0,False,181.0,75.0,,Mauro Icardi
Super_Lig,108073.0,294,44,40,0,0,1,0,0,6,2,1,0,0,0,0,0,0,0,3,3,1,2,2,2,0,0,4,1,32,1,5,0,0,66.2,3,52,1915391,Galatasaray,DC,31.0,66.0,True,185.0,91.0,,Abdülkerim Bardakci
Super_Lig,110499.0,2200,25,20,0,0,5,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,3,4,1,1,2,5,1,15,1,1,0,0,114.4,4,36,1915391,Kayserispor,DC,33.0,94.0,True,188.0,81.0,,Stefano Denswil
Super_Lig,119777.0,2200,20,18,0,0,3,0,0,6,3,2,0,0,0,0,0,1,0,1,1,1,1,0,3,2,0,2,3,8,1,6,0,0,55.3,2,27,1915391,Kayserispor,MC,31.0,61.0,True,175.0,73.0,,Furkan Soyalp
Super_Lig,123481.0,294,58,55,0,0,1,0,0,6,3,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,3,4,34,1,5,0,0,94.69999999999999,2,61,1915391,Galatasaray,DMC,32.0,66.0,True,184.0,85.0,,Mario Lemina
Super_Lig,129171.0,294,15,15,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,13,0,3,0,0,122.8,4,19,1915391,Galatasaray,Sub,31.0,28.0,False,185.0,88.0,,Kaan Ayhan
Super_Lig,137023.0,2200,12,8,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,2,0,2,2,1,0,0,0,4,5,3,1,2,0,0,107.4,4,20,1915391,Kayserispor,Sub,32.0,47.0,False,173.0,63.0,,Carlos Mané
Super_Lig,243889.0,294,48,42,3,0,4,5,3,9,2,4,0,4,1,2,0,0,0,1,1,0,5,1,1,1,0,7,22,22,0,12,0,0,193.6,5,56,1915391,Galatasaray,DR,29.0,66.0,True,183.0,75.0,,Roland Sallai
Super_Lig,248109.0,294,103,98,1,0,5,0,0,15,10,1,0,1,0,0,0,1,0,2,2,1,4,0,0,0,0,5,27,44,0,21,0,0,246.9,5,109,1915391,Galatasaray,DMC,30.0,94.0,True,166.0,65.0,,Lucas Torreira
Super_Lig,255321.0,2200,37,31,0,0,7,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,6,0,25,0,3,0,0,51.7,1,42,1915391,Kayserispor,DC,31.0,94.0,True,184.0,81.0,,Semih Güler
Super_Lig,258840.0,294,29,24,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,24,0,0,0,0,7.9,1,35,1915391,Galatasaray,GK,30.0,94.0,True,191.0,85.0,,Ugurcan Çakir
