league,match_id,team_id,team_name,is_home,total_passes,accurate_passes,total_shots,goals,key_passes,tackles,interceptions
Super_Lig,1915391,294,Galatasaray,True,695,621,23,3,17,12,13
Super_Lig,1915391,2200,Kayserispor,False,344,271,10,1,6,10,9
Super_Lig,1915394,156,Genclerbirligi,True,301,214,13,2,9,16,14
Super_Lig,1915394,2319,Gaziantep FK,False,518,432,14,1,12,19,6
Super_Lig,1915457,227,Antalyaspor,True,295,200,10,2,6,17,3
Super_Lig,1915457,223,Fenerbahce,False,570,452,16,2,12,27,8
Super_Lig,1915464,2200,Kayserispor,True,380,284,10,0,7,11,10
Super_Lig,1915464,156,Genclerbirligi,False,437,347,10,0,7,10,7
Super_Lig,1915475,154,Samsunspor,True,541,437,12,0,10,20,13
Super_Lig,1915475,2319,Gaziantep FK,False,360,268,6,0,5,21,17
Super_Lig,1915480,2319,Gaziantep FK,True,363,287,17,0,14,15,11
Super_Lig,1915480,133,Besiktas,False,637,563,12,2,9,14,9
Super_Lig,1915491,750,Rizespor,True,506,412,15,3,11,8,12
Super_Lig,1915491,2006,Konyaspor,False,411,313,11,2,9,21,16
Super_Lig,1915348,226,Trabzonspor,True,327,253,9,0,8,15,8
Super_Lig,1915348,294,Galatasaray,False,454,374,23,0,19,12,4
Super_Lig,1915351,254,Goztepe,True,358,251,15,1,11,15,8
Super_Lig,1915351,156,Genclerbirligi,False,337,238,13,0,8,23,12
Super_Lig,1915339,3473,Alanyaspor,True,451,381,10,1,5,12,7
Super_Lig,1915339,154,Samsunspor,False,489,408,7,1,7,20,4
Super_Lig,1915409,294,Galatasaray,True,374,283,6,1,5,18,5
Super_Lig,1915409,223,Fenerbahce,False,473,361,17,1,10,18,12
Super_Lig,1915462,224,Kocaelispor,True,532,437,12,0,10,15,4
Super_Lig,1915462,223,Fenerbahce,False,362,274,9,2,6,16,18
Super_Lig,1915478,223,Fenerbahce,True,436,349,22,3,20,12,10
Super_Lig,1915478,2201,Istanbul Basaksehir,False,459,378,15,1,12,13,11
Super_Lig,1915493,294,Galatasaray,True,350,266,14,1,8,11,8
Super_Lig,1915493,154,Samsunspor,False,425,362,13,4,8,17,10
Super_Lig,1915495,226,Trabzonspor,True,439,346,10,1,8,21,7
Super_Lig,1915495,254,Goztepe,False,325,251,18,1,12,21,10
Super_Lig,1915343,133,Besiktas,True,306,216,9,2,7,15,9
Super_Lig,1915343,223,Fenerbahce,False,649,566,23,3,16,10,7
Super_Lig,1915354,3475,Kasimpasa,True,452,358,11,2,8,10,6
Super_Lig,1915354,2200,Kayserispor,False,355,261,11,3,7,12,5
Super_Lig,1915357,154,Samsunspor,True,334,242,12,2,10,23,3
Super_Lig,1915357,2006,Konyaspor,False,481,384,24,2,19,15,8
Super_Lig,1915476,3473,Alanyaspor,True,383,284,8,0,7,14,5
Super_Lig,1915476,227,Antalyaspor,False,474,373,7,0,4,18,15
Super_Lig,1915484,156,Genclerbirligi,True,618,518,13,0,9,12,5
Super_Lig,1915484,2719,Fatih Karagumruk,False,367,267,6,1,6,15,9
Super_Lig,1915486,224,Kocaelispor,True,306,228,5,1,3,9,9
Super_Lig,1915486,3475,Kasimpasa,False,459,380,13,1,6,13,5
Super_Lig,1915489,2200,Kayserispor,True,441,327,21,1,19,13,13
Super_Lig,1915489,3476,Eyupspor,False,358,268,11,1,11,14,7
Super_Lig,1915551,750,Rizespor,True,472,409,14,5,13,17,4
Super_Lig,1915551,227,Antalyaspor,False,497,428,15,2,10,17,12
Super_Lig,1915563,2200,Kayserispor,True,438,346,17,0,13,14,12
Super_Lig,1915563,226,Trabzonspor,False,467,398,25,4,22,8,13
Super_Lig,1915338,2319,Gaziantep FK,True,440,374,13,0,13,22,19
Super_Lig,1915338,3473,Alanyaspor,False,523,445,8,0,6,16,10
Super_Lig,1915345,227,Antalyaspor,True,364,296,7,1,6,16,3
Super_Lig,1915345,3476,Eyupspor,False,544,445,15,0,9,12,8
Super_Lig,1915360,750,Rizespor,True,577,459,13,1,10,10,8
Super_Lig,1915360,2719,Fatih Karagumruk,False,367,249,14,0,9,11,14
Super_Lig,1915415,294,Galatasaray,True,503,420,19,1,16,14,8
Super_Lig,1915415,226,Trabzonspor,False,288,221,13,2,10,16,9
Super_Lig,1915537,2319,Gaziantep FK,True,524,450,15,1,13,11,15
Super_Lig,1915537,3473,Alanyaspor,False,398,300,8,1,6,14,8
Super_Lig,1915538,254,Goztepe,True,255,168,9,2,6,14,7
Super_Lig,1915538,156,Genclerbirligi,False,425,330,11,0,7,11,4
Super_Lig,1915540,2200,Kayserispor,True,549,441,4,0,3,11,4
Super_Lig,1915540,3475,Kasimpasa,False,334,243,8,2,6,14,8
Super_Lig,1915552,133,Besiktas,True,364,285,11,1,8,12,4
Super_Lig,1915552,294,Galatasaray,False,418,350,14,1,12,8,8
Super_Lig,1915554,3473,Alanyaspor,True,369,287,12,2,8,14,6
Super_Lig,1915554,156,Genclerbirligi,False,451,364,11,2,7,15,9
Super_Lig,1915560,224,Kocaelispor,True,338,259,9,1,5,16,7
Super_Lig,1915560,3476,Eyupspor,False,397,301,12,0,8,19,12
Super_Lig,1915413,2006,Konyaspor,True,328,247,9,2,5,14,6
Super_Lig,1915413,154,Samsunspor,False,540,461,18,2,15,7,7
Super_Lig,1915535,3476,Eyupspor,True,332,256,8,0,7,16,7
Super_Lig,1915535,227,Antalyaspor,False,391,310,20,3,18,18,10
Super_Lig,1915536,223,Fenerbahce,True,511,410,13,1,8,26,17
Super_Lig,1915536,133,Besiktas,False,403,302,14,0,7,23,14
Super_Lig,1915539,750,Rizespor,True,600,503,11,1,9,18,10
Super_Lig,1915539,2719,Fatih Karagumruk,False,347,264,10,2,8,19,19
Super_Lig,1915555,2201,Istanbul Basaksehir,True,614,503,11,0,10,20,11
Super_Lig,1915555,254,Goztepe,False,241,145,9,1,7,14,23
Super_Lig,1915557,2319,Gaziantep FK,True,431,342,17,2,12,21,12
Super_Lig,1915557,2719,Fatih Karagumruk,False,352,266,13,0,9,11,13
Super_Lig,1915558,2006,Konyaspor,True,425,341,7,1,5,7,8
Super_Lig,1915558,3475,Kasimpasa,False,426,339,10,1,10,7,5
Super_Lig,1915562,154,Samsunspor,True,418,322,12,0,8,15,16
Super_Lig,1915562,223,Fenerbahce,False,460,374,6,0,5,14,10
Super_Lig,1915355,154,Samsunspor,True,412,336,13,2,11,11,4
Super_Lig,1915355,294,Galatasaray,False,553,476,13,3,12,17,7
Super_Lig,1915411,224,Kocaelispor,True,309,211,11,0,8,14,7
Super_Lig,1915411,2201,Istanbul Basaksehir,False,583,490,13,0,9,1,5
Super_Lig,1915346,223,Fenerbahce,True,390,288,10,1,9,15,3
Super_Lig,1915346,2201,Istanbul Basaksehir,False,428,333,18,1,14,14,8
Super_Lig,1915352,3476,Eyupspor,True,507,421,16,1,10,11,4
Super_Lig,1915352,2200,Kayserispor,False,354,271,8,1,8,15,6
Super_Lig,1915364,2006,Konyaspor,True,462,363,11,1,7,10,7
Super_Lig,1915364,750,Rizespor,False,498,411,11,1,9,15,8
Super_Lig,1915469,227,Antalyaspor,True,475,386,9,0,7,15,6
Super_Lig,1915469,2719,Fatih Karagumruk,False,350,253,16,1,10,19,5
Super_Lig,1915479,226,Trabzonspor,True,446,387,17,3,12,20,8
Super_Lig,1915479,154,Samsunspor,False,486,413,11,0,8,22,6
Super_Lig,1915487,254,Goztepe,True,338,229,23,1,16,15,11
Super_Lig,1915487,2201,Istanbul Basaksehir,False,410,301,7,2,6,15,8
Super_Lig,1915488,133,Besiktas,True,569,462,24,0,18,18,5
Super_Lig,1915488,294,Galatasaray,False,378,287,12,1,7,6,11
Super_Lig,1915372,2201,Istanbul Basaksehir,True,588,497,19,1,14,11,6
Super_Lig,1915372,156,Genclerbirligi,False,234,166,15,2,8,13,6
Super_Lig,1915358,156,Genclerbirligi,True,294,210,19,3,13,15,8
Super_Lig,1915358,2719,Fatih Karagumruk,False,436,350,8,0,6,15,10
Super_Lig,1915361,226,Trabzonspor,True,434,348,18,2,11,17,3
Super_Lig,1915361,254,Goztepe,False,275,191,21,1,9,13,4
Super_Lig,1915579,3475,Kasimpasa,True,260,166,4,0,3,10,9
Super_Lig,1915579,224,Kocaelispor,False,520,399,9,0,5,12,9
Super_Lig,1915401,133,Besiktas,True,569,483,20,2,16,17,9
Super_Lig,1915401,3473,Alanyaspor,False,263,178,7,2,6,3,10
Super_Lig,1915403,2201,Istanbul Basaksehir,True,547,473,26,2,21,11,9
Super_Lig,1915403,3476,Eyupspor,False,449,365,6,1,6,15,6
Super_Lig,1915474,254,Goztepe,True,277,176,7,0,3,11,6
Super_Lig,1915474,2006,Konyaspor,False,483,374,11,0,9,20,5
Super_Lig,1915477,750,Rizespor,True,402,315,15,0,8,20,8
Super_Lig,1915477,294,Galatasaray,False,586,517,19,3,16,8,5
Super_Lig,1915492,223,Fenerbahce,True,498,392,14,3,12,13,8
Super_Lig,1915492,154,Samsunspor,False,399,294,12,2,9,29,9
Super_Lig,1915494,2719,Fatih Karagumruk,True,460,360,14,1,11,14,8
